date	time	ticker	name	title	summary	link
2020-10-05	2020-10-05 11:16:11	BRK-A	Berkshire Hathaway Inc.	As Big Data Meets Insurance, Lemonade Stock Looks Great Right Here	"

InvestorPlace - Stock Market News, Stock Advice & Trading Tips"	https://www.nasdaq.com/articles/as-big-data-meets-insurance-lemonade-stock-looks-great-right-here-2020-10-05
2020-10-01	2020-10-01 17:24:20	BRK-A	Berkshire Hathaway Inc.	Best ETFs for 2020: The U.S. Global Jets ETF Still Faces Headwinds	"

InvestorPlace - Stock Market News, Stock Advice & Trading Tips"	https://www.nasdaq.com/articles/best-etfs-for-2020%3A-the-u.s.-global-jets-etf-still-faces-headwinds-2020-10-01
2020-10-01	2020-10-01 17:05:33	BRK-A	Berkshire Hathaway Inc.	Occidental Petroleum May Only Be a Gamble on the Short Side	"

InvestorPlace - Stock Market News, Stock Advice & Trading Tips"	https://www.nasdaq.com/articles/occidental-petroleum-may-only-be-a-gamble-on-the-short-side-2020-10-01
2020-10-01	2020-10-01 11:10:51	BRK-A	Berkshire Hathaway Inc.	It’s a Huge Gamble, but at These Prices, Occidental Petroleum Stock Might Be a Buy	"

InvestorPlace - Stock Market News, Stock Advice & Trading Tips"	https://www.nasdaq.com/articles/its-a-huge-gamble-but-at-these-prices-occidental-petroleum-stock-might-be-a-buy-2020-10-01
2020-09-30	2020-09-30 12:01:13	BRK-A	Berkshire Hathaway Inc.	5 Stocks to Buy for Low Interest Rates	"

InvestorPlace - Stock Market News, Stock Advice & Trading Tips"	https://www.nasdaq.com/articles/5-stocks-to-buy-for-low-interest-rates-2020-09-30
2020-09-28	2020-09-28 13:23:24	BRK-A	Berkshire Hathaway Inc.	7 International ETFs to Buy to Avoid Home Country Bias	"

InvestorPlace - Stock Market News, Stock Advice & Trading Tips"	https://www.nasdaq.com/articles/7-international-etfs-to-buy-to-avoid-home-country-bias-2020-09-28
2020-09-24	2020-09-24 15:30:09	BRK-A	Berkshire Hathaway Inc.	Why Evernorth May Not Resolve Cigna’s Long-Term Issues	"

InvestorPlace - Stock Market News, Stock Advice & Trading Tips"	https://www.nasdaq.com/articles/why-evernorth-may-not-resolve-cignas-long-term-issues-2020-09-24
2020-09-23	2020-09-23 11:21:00	BRK-A	Berkshire Hathaway Inc.	Warren Buffett Has Spent at Least $18.5 Billion in Q3	"
Berkshire Hathaway (NYSE: BRK.A)(NYSE: BRK.B) CEO Warren Buffett is one of the greatest investors of our time. He's built up a net worth of more than $83 billion, and has created over $400 billion in value for his company's shareholders over five-plus decades."	https://www.nasdaq.com/articles/warren-buffett-has-spent-at-least-%2418.5-billion-in-q3-2020-09-23
2020-09-23	2020-09-23 11:09:00	BRK-A	Berkshire Hathaway Inc.	Better Buy: Bank of America vs. US Bancorp	"
The COVID-19 crisis has been downright awful for the entire financial sector. Banks have been sold based on fears of rising consumer and corporate delinquencies. The big provisions for loan losses have been taken, but so far we haven't seen the big writedowns of assets. The bank"	https://www.nasdaq.com/articles/better-buy%3A-bank-of-america-vs.-us-bancorp-2020-09-23
2020-09-23	2020-09-23 10:51:00	BRK-A	Berkshire Hathaway Inc.	3 Stocks That Could Make You Rich	"
Nobody has a crystal ball that can tell you which stocks will be tomorrow's big winners, and I'm certainly not an exception. After all, if we knew what stocks were going to be the next Amazon.com (NASDAQ: AMZN) or Tesla (NASDAQ: TSLA), everyone would put all of their money into "	https://www.nasdaq.com/articles/3-stocks-that-could-make-you-rich-2020-09-23
2020-09-23	2020-09-23 10:05:00	BRK-A	Berkshire Hathaway Inc.	Is Snowflake's IPO Surge Fair to Average Investors?	"
Shares of Snowflake (NYSE: SNOW) recently debuted with a bang, closing its first day of trading 111% higher than its initial public offering price of $120 per share, and raising about $3.4 billion in the largest software IPO ever. For many institutional investors, such as hedge "	https://www.nasdaq.com/articles/is-snowflakes-ipo-surge-fair-to-average-investors-2020-09-23
2020-09-22	2020-09-22 14:12:28	BRK-A	Berkshire Hathaway Inc.	Occidental Petroleum Will Pay Warren Buffett in Cash This Time	"
Occidental Petroleum (NYSE: OXY) disclosed yesterday that it would pay the upcoming dividend on the preferred shares owned by Warren Buffett's Berkshire Hathaway (NYSE: BRK.A) (NYSE: BRK.B) in cash instead of stock. The quarterly cash payout on the preferred stock is $2,000 per "	https://www.nasdaq.com/articles/occidental-petroleum-will-pay-warren-buffett-in-cash-this-time-2020-09-22
2020-09-22	2020-09-22 10:47:00	BRK-A	Berkshire Hathaway Inc.	3 Stocks to Buy Ahead of the Next Market Crash	"
The stock market is sharply higher than its March lows, but has started to pull back again recently. Since peaking in early September, the S&P 500 has lost nearly 5% of its value. The Dow Jones Industrial Average and Nasdaq Composite indices are significantly lower as well."	https://www.nasdaq.com/articles/3-stocks-to-buy-ahead-of-the-next-market-crash-2020-09-22
2020-09-22	2020-09-22 10:06:00	BRK-A	Berkshire Hathaway Inc.	Warren Buffett's Top 4 Dividend Stocks	"
For more than 50 years, Berkshire Hathaway (NYSE: BRK.A)(NYSE: BRK.B) CEO Warren Buffett has been running circles around the broader market. According to the company's 2019 shareholder letter, Berkshire Hathaway has returned an average of 20.3% per year over a 55-year stretch. T"	https://www.nasdaq.com/articles/warren-buffetts-top-4-dividend-stocks-2020-09-22
2020-09-21	2020-09-21 11:10:00	BRK-A	Berkshire Hathaway Inc.	Why Investing in IPOs is Risky: Snowflake Edition	"
Ever since it filed its paperwork to go public, I was interested in data warehousing company Snowflake (NYSE: SNOW). I even thought about participating in the IPO."	https://www.nasdaq.com/articles/why-investing-in-ipos-is-risky%3A-snowflake-edition-2020-09-21
2019-09-06	2019-09-06 22:06:17	BRK-A	Berkshire Hathaway Inc.	Should Investors Buy Bank of America Stock?	InvestorPlace Stock Market News Stock Advice amp Trading Tips Bank of America s NYSE BAC investor position indicator recently fell below 2 0 for the first time since January As a result BofA market strategist Michael Hartnett hinted	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/m3gtoanmah0/should-investors-buy-bank-of-america-stock-cm1208732
2019-09-06	2019-09-06 22:06:17	BRK-A	Berkshire Hathaway Inc.	Should Investors Buy Bank of America Stock?	InvestorPlace Stock Market News Stock Advice amp Trading Tips Bank of America s NYSE BAC investor position indicator recently fell below 2 0 for the first time since January As a result BofA market strategist Michael Hartnett hinted	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/7idHp_1S6WY/should-investors-buy-bank-of-america-stock-cm1208732
2019-09-04	2019-09-04 19:04:38	BRK-A	Berkshire Hathaway Inc.	Is Tesla’s New Insurance a Game Changer for TSLA Stock?	InvestorPlace Stock Market News Stock Advice amp Trading Tips The decision by Tesla NASDAQ TSLA to offer insurance on its own vehicles starting in California has created more buzz than may be warranted Source Vitaliy Karimov Shutterstock com While Tesla	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/4J6zHR1prBo/is-teslas-new-insurance-a-game-changer-for-tsla-stock-cm1207487
2019-09-04	2019-09-04 19:04:38	BRK-A	Berkshire Hathaway Inc.	Is Tesla’s New Insurance a Game Changer for TSLA Stock?	InvestorPlace Stock Market News Stock Advice amp Trading Tips The decision by Tesla NASDAQ TSLA to offer insurance on its own vehicles starting in California has created more buzz than may be warranted Source Vitaliy Karimov Shutterstock com While Tesla	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/eCOq-5hCIdE/is-teslas-new-insurance-a-game-changer-for-tsla-stock-cm1207487
2019-09-04	2019-09-04 17:08:53	BRK-A	Berkshire Hathaway Inc.	3 Ways Fintech Is Set to Start Moving JPM Stock Higher	InvestorPlace Stock Market News Stock Advice amp Trading Tips JPMorgan NYSE JPM only has added a little more than 8 so far this year It s not a great one for JPM stock but the future looks a lot different than the past for this company Source Bjorn	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/UipQfMvhufE/3-ways-fintech-is-set-to-start-moving-jpm-stock-higher-cm1207437
2019-09-04	2019-09-04 17:08:53	BRK-A	Berkshire Hathaway Inc.	3 Ways Fintech Is Set to Start Moving JPM Stock Higher	InvestorPlace Stock Market News Stock Advice amp Trading Tips JPMorgan NYSE JPM only has added a little more than 8 so far this year It s not a great one for JPM stock but the future looks a lot different than the past for this company Source Bjorn	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/61oB9OMB5Mk/3-ways-fintech-is-set-to-start-moving-jpm-stock-higher-cm1207437
2019-08-22	2019-08-22 19:11:42	BRK-A	Berkshire Hathaway Inc.	4 Triggers That Could Kick Gold Into High Gear	InvestorPlace Stock Market News Stock Advice amp Trading Tips Gold is a quirky hybrid of money and mythology that defies neat and tidy definitions It is a shiny rock that produces nothing Yet mankind has coveted this shiny rock for several millennia Source Shutterstock Gold	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/GIP4b-slEUc/4-triggers-that-could-kick-gold-into-high-gear-cm1202127
