date	time	ticker	name	title	summary	link
2021-12-22	2021-12-22 15:51:03	DEO	Diageo plc	PepsiCo's (PEP) Doritos Brings New Flavor to Woo Customers	PepsiCo's (PEP) Doritos introduces the Doritos Flamin' Hot Cool Ranch Flavored Tortilla Chips, just in time for the holiday season.	https://finance.yahoo.com/news/pepsicos-pep-doritos-brings-flavor-155103559.html?.tsrc=rss
2021-12-15	2021-12-15 14:42:00	DEO	Diageo plc	'Tis the Season to Give and Chill! Smirnoff ICE and Luxury Brand Cremsiffino are Releasing a Limited-Edition, One-of-a-Kind Coffee Table Book with a Twist	Just in time for last-minute holiday gifting needs, Smirnoff ICE once again teams up with luxury home goods brand, Cremsiffino, to create the perfect gift that combines luxury with a serving of spICE this holiday season. The new, limited-edition coffee table book captures the opulent and high-fashion story of The House of Cremsiffino and is packed with a nICE surprise for those adults on your gift list.	https://finance.yahoo.com/news/tis-season-chill-smirnoff-ice-144200650.html?.tsrc=rss
2021-12-14	2021-12-14 19:17:00	DEO	Diageo plc	Crown Royal Partners with Celebrity Grillz Makers, Scotty ATL and Eddie Plein, to Announce Newest Whisky Blend Aged 18 Years	In time for the holiday season, Crown Royal is celebrating the release of the award-winning whisky brand's most luxurious variant to date. Crown Royal Aged 18 Years is a rare blend of three of the most exceptional whiskies, handcrafted by their master blender, patiently aged to perfection for eighteen years. In honor of the release, Crown Royal commissioned celebrity grillz maker Scotty ATL, to create four exclusive grillz sets using the liquid variant as the inspiration, in a first of its kind	https://finance.yahoo.com/news/crown-royal-partners-celebrity-grillz-191700775.html?.tsrc=rss
2021-12-11	2021-12-11 15:58:55	DEO	Diageo plc	11 Best Liquor Stocks to Buy Right Now	In this article, we discuss the 11 best liquor stocks to buy now. If you want to skip our detailed analysis of the liquor industry and these stocks, go directly to the 5 Best Liquor Stocks to Buy Now. As every other industry that was impacted by the COVID-19 pandemic, the liquor market was hit […]	https://finance.yahoo.com/news/11-best-liquor-stocks-buy-155855398.html?.tsrc=rss
2021-12-09	2021-12-09 14:00:00	DEO	Diageo plc	'Tis The Season: Captain Morgan Original Spiced Rum & Ben Baller Ice Out the Holidays with Signature Cocktail Kit and Exclusive Chain Giveaway	This holiday season, Captain Morgan Original Spiced Rum is bringing on the spice and ice with a limited-edition cocktail kit inspired by famed celebrity jeweler Ben Baller. The kits are the perfect holiday gift for anyone of legal drinking age. The brand is also adding a layer of holiday cheer by giving one lucky fan a custom, one-of-a-kind chain crafted by Ben Baller himself.	https://finance.yahoo.com/news/tis-season-captain-morgan-original-140000608.html?.tsrc=rss
2021-12-08	2021-12-08 15:00:00	DEO	Diageo plc	This Holiday Season, Cascade Moon Releases Extremely Rare 13 Year Old Rye Whisky	With the holiday season underway, the hunt has begun for the ideal gift, especially for those hardest to buy for on the list. Cascade Hollow Distilling Co. General Manager and Distiller Nicole Austin is releasing a premium rye whisky, perfect for the whisky afficionado in your life. Cascade Moon 13 Year Old Rye is an extremely rare release, available in select U.S. markets starting this month.	https://finance.yahoo.com/news/holiday-season-cascade-moon-releases-150000493.html?.tsrc=rss
2021-12-08	2021-12-08 14:06:14	DEO	Diageo plc	Humble & Fume Charts U.S. Expansion Roadmap With Johnson Brothers Partnership	By Exec Edge Editorial Staff Once upon a time, in the pre-legalization days of Canadian cannabis, one of the more talked about subjects was whether alcohol companies would elect to partner with licensed producers (LP). Global alcohol conglomerate Constellation Brands kicked off the debate with it’s first investment in Canopy Growth in October 2017. But […]	https://finance.yahoo.com/news/humble-fume-charts-u-expansion-140614108.html?.tsrc=rss
2021-12-08	2021-12-08 11:20:55	DEO	Diageo plc	Top Beer Stocks for Q1 2022	The beer industry is made up of companies specializing in the production of beer, although many of them produce other alcoholic and non-alcoholic beverages. Some of the big names in the industry include Netherlands-based SABMiller International BV, Belgium-based Anheuser-Busch InBev SA/NV (BUD), and Japan-based Kirin Holdings Co.	https://finance.yahoo.com/m/29c230da-392d-33e0-840d-423eebbe8eb3/top-beer-stocks-for-q1-2022.html?.tsrc=rss
2021-12-07	2021-12-07 21:59:00	DEO	Diageo plc	Tequila Don Julio Ultima Reserva Presents: An Evening At Home With Mark Seliger And His 'Ultima Circle'	Tequila Don Julio Ultima Reserva is a liquid so rare and precious that it deserves to be enjoyed with those you cherish the most, a sentiment that the brand was born from. When Don Julio González first set out on his tequila making journey in 1942, he created a special reserve intended only to be shared with his closest circle of family and friends. Just as Don Julio devoted his life to tequila making, Mark Seliger has devoted his to the art of photography, and both have become icons in their re	https://finance.yahoo.com/news/tequila-don-julio-ultima-reserva-215900936.html?.tsrc=rss
2021-12-07	2021-12-07 16:40:04	DEO	Diageo plc	ABEV vs. DEO: Which Stock Is the Better Value Option?	ABEV vs. DEO: Which Stock Is the Better Value Option?	https://finance.yahoo.com/news/abev-vs-deo-stock-better-164004870.html?.tsrc=rss
2021-12-07	2021-12-07 13:06:01	DEO	Diageo plc	Why Constellation Brands (STZ) Looks Well-Poised Amid Cost Woes	Constellation Brands (STZ) witnesses a solid performance in the beer business and remains on track with its premiumization strategy. These bode well for the stock's growth in the days ahead.	https://finance.yahoo.com/news/why-constellation-brands-stz-looks-130601475.html?.tsrc=rss
2021-12-06	2021-12-06 07:22:48	DEO	Diageo plc	Diageo (LON:DGE) shareholders have earned a 16% CAGR over the last five years	Generally speaking the aim of active stock picking is to find companies that provide returns that are superior to the...	https://finance.yahoo.com/news/diageo-lon-dge-shareholders-earned-072248073.html?.tsrc=rss
2021-12-03	2021-12-03 13:00:00	DEO	Diageo plc	Impact-Focused Designer Sami Miró Collaborates with Crown Royal Regal Apple and TheFutureParty to Release Upcycled Garment for Auction with Proceeds Benefiting The CLEO Institute	"As art, fashion, culture and community convene once again in Miami this week, Crown Royal Regal Apple and TheFutureParty (TFP) have partnered with ""The Queen of Vintage,"" sustainable designer and content creator Sami Miró. Since 2016, Sami has been reimagining quality and purpose-driven apparel with her collection, Sami Miro Vintage. Today, Crown Royal, TheFutureParty and Sami are releasing a one-of-a-kind upcycled design that also redefines the idea of royal apparel: an exclusive Crown Royal Re"	https://finance.yahoo.com/news/impact-focused-designer-sami-mir-130000694.html?.tsrc=rss
2021-11-30	2021-11-30 17:00:00	DEO	Diageo plc	'Tis the Season! Baileys Irish Cream and Dominique Ansel Bakery Team Up to Bring You the Most Indulgent Hot Chocolate with a Twist (and a Swirl)!	What's more delicious than sipping on a Baileys Hot Chocolate with friends and family during the Holidays? Having Dominique Ansel himself create the most indulgent Baileys Hot Chocolate yet and enjoying it from the comfort of your own home, that's what. Baileys Irish Cream has teamed up with the award-winning pastry chef, Dominique Ansel, to release the exclusive Baileys Swirl Holiday Hot Chocolate Kit (non-alcoholic), a one-of-a-kind kit that reimagines the signature Baileys Hot Chocolate. Whet	https://finance.yahoo.com/news/tis-season-baileys-irish-cream-170000756.html?.tsrc=rss
2021-11-29	2021-11-29 10:09:56	DEO	Diageo plc	The Omicron variant and the stock market	The markets are likely to see high periods of volatility as investors assess the economic damage from the Omicron variant.	https://finance.yahoo.com/news/the-omicron-variant-and-the-stock-market-morning-brief-100956039.html?.tsrc=rss
2021-11-24	2021-11-24 23:43:55	DEO	Diageo plc	Americans plan to eat, drink more this holiday to make up for lost time: survey	"Diageo, behind brands like Guinness and Ketel One, is out with a new survey, ""Know When To Stop"" this holiday season."	https://finance.yahoo.com/news/americans-plan-to-eat-and-drink-more-this-holiday-season-to-make-up-for-lost-time-survey-234335739.html?.tsrc=rss
2021-11-23	2021-11-23 21:07:00	DEO	Diageo plc	It's The Most Generous Time Of The Year: Crown Royal, Drew Brees And Deuce Mcallister Honor Military And Hospitality Workers With Special Generosity Hour In New Orleans	While the world continues to move closer to a new normal, the city of New Orleans has been hit especially hard over the past 19 months, with hospitality and military communities amongst those affected the most. To honor, celebrate and encourage these communities that serve us as they continue to battle the effects of the COVID-19 pandemic and Hurricane Ida, Crown Royal teamed up with local NFL legends Drew Brees and Deuce McAllister for a special Night of Service, benefitting the Bastion Communi	https://finance.yahoo.com/news/most-generous-time-crown-royal-210700167.html?.tsrc=rss
2021-11-23	2021-11-23 17:00:05	DEO	Diageo plc	Diageo (DEO) Is Up 1.89% in One Week: What You Should Know	Does Diageo (DEO) have what it takes to be a top stock pick for momentum investors? Let's find out.	https://finance.yahoo.com/news/diageo-deo-1-89-one-170005720.html?.tsrc=rss
2021-11-18	2021-11-18 19:15:00	DEO	Diageo plc	George Dickel And Social Hour Team Up To Release Seasonally Inspired Whiskey Sour Offering	The lead up to the holidays is a busy time for cocktail bars, as people are excited about enjoying seasonal cocktails. However, there traditionally have not been many fall-inspired takes on classic cocktails available for people to enjoy at home. This season, George Dickel and Social Hour, the pioneering craft canned cocktail brand, are making it easier than ever before to enjoy an autumn-inspired craft cocktail. This month, both brands are teaming up to release a new premium prepared offering -	https://finance.yahoo.com/news/george-dickel-social-hour-team-191500925.html?.tsrc=rss
2021-11-18	2021-11-18 16:25:00	DEO	Diageo plc	Here For The Holidays: Guinness Chocolate Mint Stout Aged In Kentucky Bourbon Barrels	In the fourth year of its barrel-aged beer program, the Guinness Open Gate Brewery in Baltimore is releasing Guinness Chocolate Mint Stout Aged in Kentucky Bourbon Barrels – a limited edition barrel-aged stout that brings the flavors of the season to life – just in time for the holidays.	https://finance.yahoo.com/news/holidays-guinness-chocolate-mint-stout-162500191.html?.tsrc=rss
2021-11-18	2021-11-18 12:28:00	DEO	Diageo plc	"Diageo launches new responsible drinking campaign ""Know When to Stop"" for the holiday season"	"Diageo, maker of Guinness, Johnnie Walker and Baileys has today launched a new responsible drinking global campaign ""Know When to Stop"", designed to make people stop and think about overindulgence during the festive period."	https://finance.yahoo.com/news/diageo-launches-responsible-drinking-campaign-122800106.html?.tsrc=rss
