date	time	ticker	name	title	summary	link
2021-12-31	2021-12-31 22:50:10	DHR	Danaher Corporation	Danaher (DHR) Gains As Market Dips: What You Should Know	Danaher (DHR) closed the most recent trading day at $329.01, moving +0.16% from the previous trading session.	https://finance.yahoo.com/news/danaher-dhr-gains-market-dips-225010091.html?.tsrc=rss
2021-12-31	2021-12-31 14:15:02	DHR	Danaher Corporation	Here's Why Danaher (DHR) Is a Worthy Investment Pick for 2022	Danaher (DHR) seems a good pick for 2022. It boasts segmental opportunities, buyout-led gains, solid product offerings and a focus on innovation. Rewards to shareholders add to its attractiveness.	https://finance.yahoo.com/news/heres-why-danaher-dhr-worthy-141502852.html?.tsrc=rss
2021-12-30	2021-12-30 13:17:01	DHR	Danaher Corporation	5 S&P 500 Stocks That Helped the Index Score Big in 2021	NVIDIA (NVDA), Danaher (DHR), Rockwell (ROK), Gartner (IT) and Ingersoll Rand (IR) are some of the top S&P 500 stocks that outperformed the index in 2021.	https://finance.yahoo.com/news/5-p-500-stocks-helped-131701426.html?.tsrc=rss
2021-12-29	2021-12-29 23:00:11	DHR	Danaher Corporation	Danaher (DHR) Outpaces Stock Market Gains: What You Should Know	Danaher (DHR) closed the most recent trading day at $326.58, moving +0.97% from the previous trading session.	https://finance.yahoo.com/news/danaher-dhr-outpaces-stock-market-230011462.html?.tsrc=rss
2021-12-28	2021-12-28 07:38:10	DHR	Danaher Corporation	GuidePath Tactical Allocation Fund Buys Laboratory Corp of America Holdings, Alphabet Inc, The ...	Investment company GuidePath Tactical Allocation Fund (Current Portfolio) buys Laboratory Corp of America Holdings, Alphabet Inc, The Cooper Inc, Microsoft Corp, Tyson Foods Inc, sells ProShares UltraPro S&P 500 ETF, Procter & Gamble Co, Humana Inc, First Horizon Corp, Electronic Arts Inc during the 3-months ended 2021Q3, according to the most recent filings of the investment company, GuidePath Tactical Allocation Fund.	https://finance.yahoo.com/news/guidepath-tactical-allocation-fund-buys-073810697.html?.tsrc=rss
2021-12-27	2021-12-27 21:15:00	DHR	Danaher Corporation	DANAHER SCHEDULES FOURTH QUARTER 2021 EARNINGS CONFERENCE CALL	Danaher Corporation (NYSE: DHR) announced that it will webcast its quarterly earnings conference call for the fourth quarter 2021 on Thursday, January 27, 2022 beginning at 8:00 a.m. ET and lasting approximately 1 hour.	https://finance.yahoo.com/news/danaher-schedules-fourth-quarter-2021-211500739.html?.tsrc=rss
2021-12-27	2021-12-27 15:46:00	DHR	Danaher Corporation	My 5 Favorite Industrial Stocks for 2022	Two blue-chip value stocks, a growth at reasonable price stock, a growth stock with upside potential, and a COVID-19 pandemic play make up a list of five stocks to buy for 2022.	https://finance.yahoo.com/m/6acf2ed9-6fc7-3660-b423-8ea290294063/my-5-favorite-industrial.html?.tsrc=rss
2021-12-24	2021-12-24 15:13:16	DHR	Danaher Corporation	Danaher Corporation's (NYSE:DHR) Stock Been Rising: Are Strong Financials Guiding The Market?	Danaher's (NYSE:DHR) stock up by 2.3% over the past month. Since the market usually pay for a company’s long-term...	https://finance.yahoo.com/news/danaher-corporations-nyse-dhr-stock-151316229.html?.tsrc=rss
2021-12-23	2021-12-23 22:50:10	DHR	Danaher Corporation	Danaher (DHR) Gains But Lags Market: What You Should Know	In the latest trading session, Danaher (DHR) closed at $320.79, marking a +0.35% move from the previous day.	https://finance.yahoo.com/news/danaher-dhr-gains-lags-market-225010407.html?.tsrc=rss
2021-12-22	2021-12-22 23:00:11	DHR	Danaher Corporation	Danaher (DHR) Outpaces Stock Market Gains: What You Should Know	In the latest trading session, Danaher (DHR) closed at $319.68, marking a +1.83% move from the previous day.	https://finance.yahoo.com/news/danaher-dhr-outpaces-stock-market-230011661.html?.tsrc=rss
