date	time	ticker	name	title	summary	link
2021-12-30	2021-12-30 11:13:00	DLR	Digital Realty Trust, Inc.	2 High-Yield Tech Stocks to Buy in January	If history is our guide, the best thing an investor can do with his cash is to buy dividend stocks.  Numerous studies prove that over long periods of time, dividend stocks perform better than non-paying stocks by a wide margin.  Several years ago, J.P. Morgan Asset Management found that stocks that initiated and then raised their payouts over a 40-year period between 1972 and 2012 returned an average of 9.5% annually, vs. just 1.6% non-dividend-paying stocks.	https://finance.yahoo.com/m/3bac49df-5949-3e9a-b938-e60ca3315e4d/2-high-yield-tech-stocks-to.html?.tsrc=rss
2021-12-29	2021-12-29 11:30:00	DLR	Digital Realty Trust, Inc.	Digital Realty Earns Nareit's Data Center Sustainability Award for Fifth Consecutive Year	"Digital Realty (NYSE: DLR), the largest global provider of cloud- and carrier-neutral data center, colocation and interconnection solutions, announced today it has earned the National Association of Real Estate Investments Trusts (Nareit) ""Leader in the Light"" award for data center sustainability for the fifth consecutive year. The award honors Nareit member companies that have demonstrated superior and sustained sustainability practices."	https://finance.yahoo.com/news/digital-realty-earns-nareits-data-113000184.html?.tsrc=rss
2021-12-28	2021-12-28 10:54:59	DLR	Digital Realty Trust, Inc.	Is Digital Realty Trust, Inc.'s (NYSE:DLR) Recent Stock Performance Influenced By Its Fundamentals In Any Way?	Most readers would already be aware that Digital Realty Trust's (NYSE:DLR) stock increased significantly by 19% over...	https://finance.yahoo.com/news/digital-realty-trust-inc-nyse-105459759.html?.tsrc=rss
2021-12-28	2021-12-28 07:38:05	DLR	Digital Realty Trust, Inc.	T. Rowe Price Real Assets Fund, Inc. Buys BHP Group, Martin Marietta Materials Inc, Vulcan ...	Investment company T. Rowe Price Real Assets Fund, Inc. (Current Portfolio) buys BHP Group, Martin Marietta Materials Inc, Vulcan Materials Co, Wesdome Gold Mines, Simon Property Group Inc, sells Polymetal International PLC, CyrusOne Inc, Sandstorm Gold, Lundin Mining Corp, Digital Realty Trust Inc during the 3-months ended 2021Q3, according to the most recent filings of the investment company, T.	https://finance.yahoo.com/news/t-rowe-price-real-assets-073805987.html?.tsrc=rss
2021-12-24	2021-12-24 09:38:01	DLR	Digital Realty Trust, Inc.	Goldman Sachs Trust Buys Americold Realty Trust, DigitalBridge Group Inc, Sells Digital Realty ...	Investment company Goldman Sachs Trust (Current Portfolio) buys Americold Realty Trust, DigitalBridge Group Inc, sells Digital Realty Trust Inc, Vornado Realty Trust, American Tower Corp during the 3-months ended 2021Q3, according to the most recent filings of the investment company, Goldman Sachs Trust.	https://finance.yahoo.com/news/goldman-sachs-trust-buys-americold-093801882.html?.tsrc=rss
2021-12-23	2021-12-23 13:43:00	DLR	Digital Realty Trust, Inc.	2 Growth REITs I'd Buy Right Now	Real estate investment trusts (REITs) are often thought of as relatively conservative stocks that offer dividend income ahead of stock price growth.  Here's why Digital Realty Trust (NYSE: DLR) and Innovative Industrial Properties (NYSE: IIPR) seem poised to see their share price rise as they continue to steadily pay out a decent yield.  Digital Realty Trust is a major player in a very essential business that shows no signs of slowing down.	https://finance.yahoo.com/m/41d4d5d5-5769-3363-b3ac-3044f330b172/2-growth-reits-i%27d-buy-right.html?.tsrc=rss
2021-12-19	2021-12-19 20:52:00	DLR	Digital Realty Trust, Inc.	Diversify your portfolio the right way ⁠— here are 5 assets with little connection to the stock market’s wild swings	Worried about the stock market? Look for assets that zig when stocks zag.	https://finance.yahoo.com/news/diversify-portfolio-way-5-assets-140000363.html?.tsrc=rss
2021-12-17	2021-12-17 15:38:02	DLR	Digital Realty Trust, Inc.	ASYMmetric ETFs Trust Buys Coterra Energy Inc, Baxter International Inc, Newmont Corp, Sells ...	Investment company ASYMmetric ETFs Trust (Current Portfolio) buys Coterra Energy Inc, Baxter International Inc, Newmont Corp, ServiceNow Inc, Organon, sells Bio-Rad Laboratories Inc, Cboe Global Markets Inc during the 3-months ended 2021Q3, according to the most recent filings of the investment company, ASYMmetric ETFs Trust.	https://finance.yahoo.com/news/asymmetric-etfs-trust-buys-coterra-153802610.html?.tsrc=rss
2021-12-14	2021-12-14 23:30:11	DLR	Digital Realty Trust, Inc.	Hedge Funds Are Souring On Digital Realty Trust, Inc. (DLR)	The latest 13F reporting period has come and gone, and Insider Monkey is again at the forefront when it comes to making use of this gold mine of data. Insider Monkey finished processing 867 13F filings submitted by hedge funds and prominent investors. These filings show these funds’ portfolio positions as of September 30th, 2021. […]	https://finance.yahoo.com/news/hedge-funds-souring-digital-realty-233011373.html?.tsrc=rss
2021-12-14	2021-12-14 22:40:10	DLR	Digital Realty Trust, Inc.	Here's Why It's Wise to Retain Digital Realty (DLR) Stock Now	Digital Realty's (DLR) expansion efforts will help the company capture the rising data-center demand though the stiff competition is a concern.	https://finance.yahoo.com/news/heres-why-wise-retain-digital-224010873.html?.tsrc=rss
2021-12-14	2021-12-14 12:48:00	DLR	Digital Realty Trust, Inc.	Could This Be the Next Big Data Center REIT?	After a couple of recently announced acquisitions close, there will only be two pure-play data center REITs in the market -- massive companies Digital Realty (NYSE: DLR) and Equinix (NASDAQ: EQIX).  In this Fool Live video clip, recorded on Nov. 16, Fool.com contributor Matt DiLallo and editors Deidre Woollard and Kayla Schorr discuss Switch and why it might be worth a closer look for investors.  Deidre Woollard: I just want to take us through Switch because, Matt, you've mentioned it a couple of times.  When we're talking about data centers -- like you said, it's not a REIT yet, it's not going to be REIT for another two years, but it's the new kid on the block and they had a pretty strong third quarter.	https://finance.yahoo.com/m/482f0df7-bc5e-3756-af58-c824a4a96ee7/could-this-be-the-next-big.html?.tsrc=rss
2021-12-13	2021-12-13 18:19:10	DLR	Digital Realty Trust, Inc.	7 Tech Stocks Worth Snatching Up After Their Tumble	As we move toward the end of the year, the calls for a tech correction are growing. Tech stocks are proven performers, leading investors to record gains in the last decade. However, notable investment analysts such as Leuthold Group’s Jim Paulsen say that a 10% to 15% correction is around the corner. Morgan Stanley has issued similar statements recently, believing the markets are overheated. No one can predict when this will happen. Consequently, value investors need to do their homework and get	https://finance.yahoo.com/news/7-tech-stocks-worth-snatching-181910468.html?.tsrc=rss
2021-12-11	2021-12-11 10:38:11	DLR	Digital Realty Trust, Inc.	Penn Series Real Estate Securities Fund Buys Invitation Homes Inc, Welltower Inc, Digital ...	Investment company Penn Series Real Estate Securities Fund (Current Portfolio) buys Invitation Homes Inc, Welltower Inc, Digital Realty Trust Inc, Equity Residential, Realty Income Corp, sells Extra Space Storage Inc, Spirit Realty Capital Inc, Medical Properties Trust Inc, Equinix Inc, Sun Communities Inc during the 3-months ended 2021Q3, according to the most recent filings of the investment company, Penn Series Real Estate Securities Fund.	https://finance.yahoo.com/news/penn-series-real-estate-securities-103811983.html?.tsrc=rss
2021-12-08	2021-12-08 12:22:00	DLR	Digital Realty Trust, Inc.	What Should CyrusOne and CoreSite Shareholders Do Now?	Now that these data center REITs have agreed to be acquired, what should their investors do with their shares?	https://finance.yahoo.com/m/25f1f874-e198-397d-9c43-31b7c1e7aa46/what-should-cyrusone-and.html?.tsrc=rss
2021-12-06	2021-12-06 21:05:00	DLR	Digital Realty Trust, Inc.	Digital Realty Announces Successful Listing of Digital Core REIT on Singapore Stock Exchange	Digital Realty (NYSE: DLR), the largest global provider of cloud- and carrier-neutral data center, colocation and interconnection solutions, announced today the successful listing of Digital Core REIT as a standalone publicly traded vehicle listed on the Singapore Exchange. Digital Realty contributed a 90% interest in a portfolio of 10 assets concentrated in top-tier data center markets across the U.S. and Canada valued at $1.4 billion. The initial IPO portfolio is fully leased to a blue-chip ro	https://finance.yahoo.com/news/digital-realty-announces-successful-listing-210500298.html?.tsrc=rss
2021-11-25	2021-11-25 13:47:01	DLR	Digital Realty Trust, Inc.	Equinix (EQIX), EllaLink Team Up on Subsea Cable System	Equinix (EQIX) partners with EllaLink on a high-capacity subsea cable system between Europe and Latin America, offering a 50% increase in network performance.	https://finance.yahoo.com/news/equinix-eqix-ellalink-team-subsea-134701904.html?.tsrc=rss
