date	time	ticker	name	title	summary	link
2021-12-30	2021-12-30 23:00:11	NEM	Newmont Corporation	Newmont Corporation (NEM) Gains As Market Dips: What You Should Know	Newmont Corporation (NEM) closed the most recent trading day at $61.59, moving +1.6% from the previous trading session.	https://finance.yahoo.com/news/newmont-corporation-nem-gains-market-230011234.html?.tsrc=rss
2021-12-30	2021-12-30 13:54:06	NEM	Newmont Corporation	3 Metal Stocks That Are Heating Up	Inflation took the world by storm this year. Supply bottlenecks, labor shortages and helicopter money from the government delivered the highest consumer price index (CPI) reading in nearly 40 years. November’s red-hot 6.8% print for the CPI is officially the most significant year-over-year jump in prices since 1982. Thus far, Wall Street is taking the sharp rise in stride. While some areas (such as growth stocks) are suffering from the specter of higher interest rates, others, like metal stocks,	https://finance.yahoo.com/news/3-metal-stocks-heating-135406111.html?.tsrc=rss
2021-12-28	2021-12-28 14:46:00	NEM	Newmont Corporation	Robert Kiyosaki just said we're already in a 'technical depression' — he's using these 3 assets to protect himself	'Rich Dad Poor Dad' is as bearish as ever.	https://finance.yahoo.com/news/robert-kiyosaki-just-said-were-150000693.html?.tsrc=rss
2021-12-28	2021-12-28 00:38:02	NEM	Newmont Corporation	BlackRock Funds IV Buys International Business Machines Corp, Abbott Laboratories, Union ...	Investment company BlackRock Funds IV (Current Portfolio) buys International Business Machines Corp, Abbott Laboratories, Union Pacific Corp, United Parcel Service Inc, Southern Co, sells Republic Services Inc, Oracle Corp, Juniper Networks Inc, Houlihan Lokey Inc, Assurant Inc during the 3-months ended 2021Q3, according to the most recent filings of the investment company, BlackRock Funds IV.	https://finance.yahoo.com/news/blackrock-funds-iv-buys-international-003802716.html?.tsrc=rss
2021-12-24	2021-12-24 23:00:11	NEM	Newmont Corporation	Newmont Corporation (NEM) Outpaces Stock Market Gains: What You Should Know	In the latest trading session, Newmont Corporation (NEM) closed at $59.53, marking a +1.76% move from the previous day.	https://finance.yahoo.com/news/newmont-corporation-nem-outpaces-stock-230011065.html?.tsrc=rss
2021-12-24	2021-12-24 06:38:06	NEM	Newmont Corporation	Multi-Asset Real Return Portfolio Buys Exxon Mobil Corp, Chevron Corp, Newmont Corp, Sells ...	Investment company Multi-Asset Real Return Portfolio (Current Portfolio) buys Exxon Mobil Corp, Chevron Corp, Newmont Corp, Barrick Gold Corp, Linde PLC, sells American Tower Corp, Crown Castle International Corp, Prologis Inc, Public Storage, Apple Inc during the 3-months ended 2021Q3, according to the most recent filings of the investment company, Multi-Asset Real Return Portfolio.	https://finance.yahoo.com/news/multi-asset-real-return-portfolio-063806557.html?.tsrc=rss
2021-12-23	2021-12-23 18:38:02	NEM	Newmont Corporation	MainStay VP Natural Resources Portfolio Buys Exxon Mobil Corp, Alcoa Corp, Nutrien, Sells ...	Investment company MainStay VP Natural Resources Portfolio (Current Portfolio) buys Exxon Mobil Corp, Alcoa Corp, Nutrien, Chesapeake Energy Corp, Schlumberger, sells ConocoPhillips, Newmont Corp, Kinross Gold Corp, Corteva Inc, Alamos Gold Inc during the 3-months ended 2021Q3, according to the most recent filings of the investment company, MainStay VP Natural Resources Portfolio.	https://finance.yahoo.com/news/mainstay-vp-natural-resources-portfolio-183802685.html?.tsrc=rss
2021-12-23	2021-12-23 14:07:02	NEM	Newmont Corporation	Newmont (NEM) Wraps Up Senior Notes Offering Worth $1 Billion	Newmont's (NEM) issue of sustainability-linked bond reflects a further step in syncing its financing strategy with environmental, social and governance commitments.	https://finance.yahoo.com/news/newmont-nem-wraps-senior-notes-140702825.html?.tsrc=rss
2021-12-22	2021-12-22 15:00:00	NEM	Newmont Corporation	Ray Dalio says your cash savings are not safe and will be ‘taxed by inflation’ — build a hedge with 3 alternative places to stash your money	"The billionaire founder of the world's largest hedge fund says ""cash is trash."""	https://finance.yahoo.com/news/ray-dalio-says-cash-savings-150000660.html?.tsrc=rss
2021-12-22	2021-12-22 13:28:30	NEM	Newmont Corporation	Is Newmont Corporation (NYSE:NEM) Popular Amongst Institutions?	Every investor in Newmont Corporation ( NYSE:NEM ) should be aware of the most powerful shareholder groups. Insiders...	https://finance.yahoo.com/news/newmont-corporation-nyse-nem-popular-132830362.html?.tsrc=rss
