date	time	ticker	name	title	summary	link
2021-12-31	2021-12-31 12:52:12	PLD	Prologis, Inc.	Four Corners' (FCPT) 2021 Acquisition Volume Reaches $257M	Four Corners' (FCPT) recent spate of acquisitions reflect its efforts to bank on buyout opportunities and enhance its portfolio with real estate catering to the restaurant and non-restaurant industries.	https://finance.yahoo.com/news/four-corners-fcpt-2021-acquisition-125212322.html?.tsrc=rss
2021-12-30	2021-12-30 18:47:06	PLD	Prologis, Inc.	Terreno Realty (TRNO) Acquires Redmond Property, Stock Rises	Amid the robust industrial real estate market tailwinds, Terreno Realty's (TRNO) recent acquisitions of industrial properties poise it to ride the growth curve.	https://finance.yahoo.com/news/terreno-realty-trno-acquires-redmond-184706343.html?.tsrc=rss
2021-12-30	2021-12-30 18:30:06	PLD	Prologis, Inc.	5 REITs Poised to Continue Their Winning Streaks in 2022	Amid the tell-tale signs of an economic revival and with the market dynamics of individual asset categories playing a pivotal role in the operating performances of REITs, these 5 industry participants are likely to continue their winning streaks.	https://finance.yahoo.com/news/5-reits-poised-continue-winning-183006258.html?.tsrc=rss
2021-12-30	2021-12-30 15:10:00	PLD	Prologis, Inc.	3 REITs That Are Safer Than Crypto	If you'd like to invest in something safer, you might want to consider these three real estate investment trusts (REITs).  While they won't gain 1,000% in a single year, they should produce steady returns with less volatility, making them much safer than investing in crypto.  Realty Income (NYSE: O) is a proven winner.	https://finance.yahoo.com/m/e9b1b8bd-88d1-340d-b30a-509d1af544b8/3-reits-that-are-safer-than.html?.tsrc=rss
2021-12-29	2021-12-29 15:28:03	PLD	Prologis, Inc.	American Tower (AMT) Closes Acquisition of CoreSite Realty	American Tower's (AMT) acquisition of CoreSite Realty offers the opportunity to capitalize on the latter's highly interconnected data center facilities and critical cloud on-ramps.	https://finance.yahoo.com/news/american-tower-amt-closes-acquisition-152803514.html?.tsrc=rss
2021-12-29	2021-12-29 10:41:10	PLD	Prologis, Inc.	The Zacks Analyst Blog Highlights: Simon Property Group, Federal Realty Investment Trust, Prologis and Rexford Industrial Realty	The Zacks Analyst Blog Highlights: Simon Property Group, Federal Realty Investment Trust, Prologis and Rexford Industrial Realty	https://finance.yahoo.com/news/zacks-analyst-blog-highlights-simon-104110614.html?.tsrc=rss
2021-12-28	2021-12-28 14:12:02	PLD	Prologis, Inc.	4 REITs to Snap Up As U.S. Holiday Sales Surge	As consumers splurge this holiday season and beyond amid low unemployment, rising wages and considerable savings, don't forget to add some REIT stocks that house retailers or support e-retailing.	https://finance.yahoo.com/news/4-reits-snap-u-holiday-141202328.html?.tsrc=rss
2021-12-28	2021-12-28 13:46:01	PLD	Prologis, Inc.	Terreno Realty (TRNO) Buys Woodinville Asset, Expands Portfolio	With the robust industrial real estate market tailwinds, Terreno Realty's (TRNO) recent acquisitions of industrial properties poise it to ride the growth curve.	https://finance.yahoo.com/news/terreno-realty-trno-buys-woodinville-134601450.html?.tsrc=rss
2021-12-27	2021-12-27 18:38:03	PLD	Prologis, Inc.	Financial Advisors Network, Inc. Buys VANGUARD BD IDX FD, Vanguard Value ETF, Vanguard FTSE ...	Investment company Financial Advisors Network, Inc. (Current Portfolio) buys VANGUARD BD IDX FD, Vanguard Value ETF, Vanguard FTSE Emerging Markets ETF, Vanguard FTSE Developed Markets ETF, Vanguard Total International Stock, sells Vanguard Intermediate-Term Corporate Bond ETF, Moderna Inc during the 3-months ended 2021Q3, according to the most recent filings of the investment company, Financial Advisors Network, Inc..	https://finance.yahoo.com/news/financial-advisors-network-inc-buys-183803449.html?.tsrc=rss
2021-12-24	2021-12-24 17:00:05	PLD	Prologis, Inc.	Here's Why Momentum Investors Will Love Prologis (PLD)	Does Prologis (PLD) have what it takes to be a top stock pick for momentum investors? Let's find out.	https://finance.yahoo.com/news/heres-why-momentum-investors-love-170005904.html?.tsrc=rss
