date	time	ticker	name	title	summary	link
2020-10-07	2020-10-07 21:23:00	RDS-B	Royal Dutch Shell plc	Why the Nikola Deal Is in Flux	"
In this episode of MarketFoolery, Chris Hill chats with Motley Fool analyst Maria Gallagher about the latest headlines from Wall Street. They talk about layoffs, especially with regards to Disney (NYSE: DIS), and Nikola (NASDAQ: NKLA) deal negotiations. Also, a new company is co"	https://www.nasdaq.com/articles/why-the-nikola-deal-is-in-flux-2020-10-07
2020-10-05	2020-10-05 17:11:00	RDS-B	Royal Dutch Shell plc	Leaked Documents Reveal ExxonMobil Plans to Increase Carbon Emissions 17% by 2025	"
According to leaked documents first reported on by Bloomberg, oil giant ExxonMobil (NYSE: XOM) plans to increase carbon dioxide emissions over the next five years by 17%, more than the current emissions of the entire country of Greece."	https://www.nasdaq.com/articles/leaked-documents-reveal-exxonmobil-plans-to-increase-carbon-emissions-17-by-2025-2020-10
2020-10-05	2020-10-05 14:49:20	RDS-B	Royal Dutch Shell plc	Has Exxon Mobil Become A Value Trap?	"

InvestorPlace - Stock Market News, Stock Advice & Trading Tips"	https://www.nasdaq.com/articles/has-exxon-mobil-become-a-value-trap-2020-10-05
2020-09-17	2020-09-17 14:43:00	RDS-B	Royal Dutch Shell plc	Where to Invest $5,000 Right Now	"
If you're looking for a way to grow your money, the stock market is a good option. Stocks have historically produced one of the best returns of any asset class, a trend that should continue. "	https://www.nasdaq.com/articles/where-to-invest-%245000-right-now-2020-09-17
2020-09-16	2020-09-16 14:49:00	RDS-B	Royal Dutch Shell plc	Is Royal Dutch Shell Stock a Buy?	"
Shares of oil majors have been tumbling as investors grapple with lower oil prices and question the long-term future of oil and gas. The sell-off has been particularly bad for Royal Dutch Shell (NYSE: RDS.A) (NYSE: RDS.B), which has lost over half its value so far this year."	https://www.nasdaq.com/articles/is-royal-dutch-shell-stock-a-buy-2020-09-16
2020-09-16	2020-09-16 13:15:00	RDS-B	Royal Dutch Shell plc	Better Buy: ExxonMobil vs. Royal Dutch Shell	"
Despite the recent sell-off and the ongoing impact of the COVID-19 pandemic on the broader economy, the stock market's rebound from its March lows has been a pleasant surprise for most investors. Not so much for shareholders of ExxonMobil (NYSE: XOM) and Royal Dutch Shell (NYSE:"	https://www.nasdaq.com/articles/better-buy%3A-exxonmobil-vs.-royal-dutch-shell-2020-09-16
2020-09-14	2020-09-14 13:25:54	RDS-B	Royal Dutch Shell plc	Buy the Dip in Exxon Mobil Stock Before It Climbs Back to $45	"

InvestorPlace - Stock Market News, Stock Advice & Trading Tips"	https://www.nasdaq.com/articles/buy-the-dip-in-exxon-mobil-stock-before-it-climbs-back-to-%2445-2020-09-14
2020-09-11	2020-09-11 11:41:00	RDS-B	Royal Dutch Shell plc	3 Reasons Not to Sell ExxonMobil Stock	"
ExxonMobil's (NYSE: XOM) troubles don't seem to be ending. Rising debt levels and mega capital spending plans in an unfavorable oil price environment led to a steep fall in the stock's price over the past few years. Its removal from the Dow Jones Industrial Average Index has fur"	https://www.nasdaq.com/articles/3-reasons-not-to-sell-exxonmobil-stock-2020-09-11
2020-08-29	2020-08-29 17:36:00	RDS-B	Royal Dutch Shell plc	Is BP Stock a Buy?	"
Integrated energy giant BP (NYSE: BP) has a huge 5.8% dividend yield and is making big plans to shift its business with the times. On the surface, that sounds like pretty good news all around. But there's more to understand here when you dig into the details a little bit. Here a"	https://www.nasdaq.com/articles/is-bp-stock-a-buy-2020-08-29
2020-08-24	2020-08-24 11:01:00	RDS-B	Royal Dutch Shell plc	Why Royal Dutch Shell Outperformed Expectations in Q2 2020	"
It's been a horrible earnings season for most top oil and gas companies. Oil supermajors ExxonMobil, Chevron, and BP all did worse than expected in Q2 2020 as low oil prices forced drastic spending cuts and the coronavirus pandemic destroyed demand. "	https://www.nasdaq.com/articles/why-royal-dutch-shell-outperformed-expectations-in-q2-2020-2020-08-24
2020-08-23	2020-08-23 21:08:00	RDS-B	Royal Dutch Shell plc	Tesla Tops $2,000 a Share, Is Now Worth More Than ExxonMobil, Shell, and BP Combined	"
"	https://www.nasdaq.com/articles/tesla-tops-%242000-a-share-is-now-worth-more-than-exxonmobil-shell-and-bp-combined-2020-08
