date	time	ticker	name	title	summary	link
2021-12-31	2021-12-31 17:00:05	SPG	Simon Property Group, Inc.	Here's Why Simon Property (SPG) is a Great Momentum Stock to Buy	Does Simon Property (SPG) have what it takes to be a top stock pick for momentum investors? Let's find out.	https://finance.yahoo.com/news/heres-why-simon-property-spg-170005938.html?.tsrc=rss
2021-12-31	2021-12-31 11:22:00	SPG	Simon Property Group, Inc.	1 Retail Stock to Consider in 2022 and Beyond	When it comes to indoor shopping malls, there's Simon Property Group (NYSE: SPG), and then there's everyone else.  In this Fool Live video clip, recorded on Dec. 13, Fool.com contributor Matt Frankel discusses why Simon is in a league of its own and why he's planning to hold the stock for years to come.  Matt Frankel: Simon is a mall REIT, as I mentioned, they have the number one outlet market share with their premium outlet -- any property that's called Premium Outlets is a Simon property.	https://finance.yahoo.com/m/ad61a119-cf8e-3de9-86bb-bd8ff45a420e/1-retail-stock-to-consider-in.html?.tsrc=rss
2021-12-29	2021-12-29 23:00:11	SPG	Simon Property Group, Inc.	Simon Property (SPG) Outpaces Stock Market Gains: What You Should Know	Simon Property (SPG) closed the most recent trading day at $158.76, moving +0.63% from the previous trading session.	https://finance.yahoo.com/news/simon-property-spg-outpaces-stock-230011642.html?.tsrc=rss
2021-12-29	2021-12-29 10:41:10	SPG	Simon Property Group, Inc.	The Zacks Analyst Blog Highlights: Simon Property Group, Federal Realty Investment Trust, Prologis and Rexford Industrial Realty	The Zacks Analyst Blog Highlights: Simon Property Group, Federal Realty Investment Trust, Prologis and Rexford Industrial Realty	https://finance.yahoo.com/news/zacks-analyst-blog-highlights-simon-104110614.html?.tsrc=rss
2021-12-28	2021-12-28 14:12:02	SPG	Simon Property Group, Inc.	4 REITs to Snap Up As U.S. Holiday Sales Surge	As consumers splurge this holiday season and beyond amid low unemployment, rising wages and considerable savings, don't forget to add some REIT stocks that house retailers or support e-retailing.	https://finance.yahoo.com/news/4-reits-snap-u-holiday-141202328.html?.tsrc=rss
2021-12-28	2021-12-28 11:07:11	SPG	Simon Property Group, Inc.	Zacks Industry Outlook Highlights: Simon Property Group, Federal Realty Investment Trust and Kite Realty Group Trust	Zacks Industry Outlook Highlights: Simon Property Group, Federal Realty Investment Trust and Kite Realty Group Trust	https://finance.yahoo.com/news/zacks-industry-outlook-highlights-simon-110711117.html?.tsrc=rss
2021-12-28	2021-12-28 07:38:05	SPG	Simon Property Group, Inc.	T. Rowe Price Real Assets Fund, Inc. Buys BHP Group, Martin Marietta Materials Inc, Vulcan ...	Investment company T. Rowe Price Real Assets Fund, Inc. (Current Portfolio) buys BHP Group, Martin Marietta Materials Inc, Vulcan Materials Co, Wesdome Gold Mines, Simon Property Group Inc, sells Polymetal International PLC, CyrusOne Inc, Sandstorm Gold, Lundin Mining Corp, Digital Realty Trust Inc during the 3-months ended 2021Q3, according to the most recent filings of the investment company, T.	https://finance.yahoo.com/news/t-rowe-price-real-assets-073805987.html?.tsrc=rss
2021-12-22	2021-12-22 23:00:11	SPG	Simon Property Group, Inc.	Simon Property (SPG) Gains But Lags Market: What You Should Know	In the latest trading session, Simon Property (SPG) closed at $155.53, marking a +0.69% move from the previous day.	https://finance.yahoo.com/news/simon-property-spg-gains-lags-230011313.html?.tsrc=rss
2021-12-18	2021-12-18 07:38:03	SPG	Simon Property Group, Inc.	Morgan Stanley Variable Insurance Fund Inc. ...	Investment company Morgan Stanley Variable Insurance Fund Inc. (Current Portfolio) buys Sun Communities Inc, Ventas Inc, Extra Space Storage Inc, Equinix Inc, Dream Industrial Real Estate Investment Trust, sells Simon Property Group Inc, American Campus Communities Inc, Equity Lifestyle Properties Inc, Welltower Inc, CyrusOne Inc during the 3-months ended 2021Q3, according to the most recent filings of the investment company, Morgan Stanley Variable Insurance Fund Inc..	https://finance.yahoo.com/news/morgan-stanley-variable-insurance-fund-073803723.html?.tsrc=rss
2021-12-18	2021-12-18 04:38:05	SPG	Simon Property Group, Inc.	Goldman Sachs Variable Insurance Trust Growth Opportunities Fund Buys Novavax Inc, Ryan ...	Investment company Goldman Sachs Variable Insurance Trust Growth Opportunities Fund (Current Portfolio) buys Novavax Inc, Ryan Specialty Group Holdings Inc, Pioneer Natural Resources Co, Alnylam Pharmaceuticals Inc, Shift4 Payments Inc, sells Wynn Resorts, Avalara Inc, Agios Pharmaceuticals Inc, Yum Brands Inc, Simon Property Group Inc during the 3-months ended 2021Q3, according to the most recent filings of the investment company, Goldman Sachs Variable Insurance Trust Growth Opportunities Fund	https://finance.yahoo.com/news/goldman-sachs-variable-insurance-trust-043805208.html?.tsrc=rss
2021-12-17	2021-12-17 22:38:03	SPG	Simon Property Group, Inc.	Power Momentum Index VIT Fund Buys Targa Resources Corp, Boyd Gaming Corp, Alliance Data ...	Investment company Power Momentum Index VIT Fund (Current Portfolio) buys Targa Resources Corp, Boyd Gaming Corp, Alliance Data Systems Corp, Darden Restaurants Inc, HubSpot Inc, sells Charles River Laboratories International Inc, Fortinet Inc, EPAM Systems Inc, Trimble Inc, The AES Corp during the 3-months ended 2021Q3, according to the most recent filings of the investment company, Power Momentum Index VIT Fund.	https://finance.yahoo.com/news/power-momentum-index-vit-fund-223803903.html?.tsrc=rss
