Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,259.769989,267.5,257.570007,267.01001,228.116379,3313500
2018-01-03,267.290009,270.730011,266.029999,269.929993,230.611053,3116100
2018-01-04,271.589996,271.76001,268.429993,270.019989,230.687943,1906700
2018-01-05,271.970001,274.26001,269.450012,271.619995,232.054901,2863300
2018-01-08,270.920013,272.549988,269.059998,272.269989,232.610214,2097100
2018-01-09,273.059998,273.850006,268.190002,268.5,229.389343,2602700
2018-01-10,265.980011,266.140015,260.730011,262.829987,224.545242,3160700
2018-01-11,263.570007,263.850006,261.549988,263.5,225.117691,1772600
2018-01-12,263.390015,265.320007,262.01001,264.290009,225.792603,1988100
2018-01-16,265.179993,267.0,261.660004,263.25,224.904068,3352800
2018-01-17,265.480011,266.529999,260.459991,265.809998,227.091187,3736500
2018-01-18,265.459991,270.059998,264.480011,269.799988,230.5,3031900
2018-01-19,269.149994,269.440002,266.070007,266.390015,227.5867,2996300
2018-01-22,265.649994,266.769989,260.619995,262.109985,223.930161,2723000
2018-01-23,261.73999,264.410004,258.109985,262.899994,224.605087,3539800
2018-01-24,260.970001,263.269989,256.0,256.859985,219.444855,4540500
2018-01-25,257.73999,257.839996,247.0,247.289993,211.26886,5952000
2018-01-26,249.419998,250.949997,245.240005,250.789993,214.259048,4901400
2018-01-29,248.279999,249.490005,243.490005,245.470001,209.713974,5040100
2018-01-30,241.25,245.029999,237.009995,240.979996,205.878021,4600200
2018-01-31,250.0,253.139999,244.860001,248.029999,211.901077,8048200
2018-02-01,241.720001,245.899994,238.100006,238.789993,204.007004,6685100
2018-02-02,236.770004,237.960007,234.089996,235.479996,201.179138,5835200
2018-02-05,234.679993,244.0,227.600006,228.100006,194.874176,7077600
2018-02-06,225.619995,240.399994,224.899994,240.380005,205.365417,7774400
2018-02-07,238.759995,243.100006,237.0,237.380005,202.802399,4047500
2018-02-08,237.389999,238.520004,229.509995,229.570007,196.130051,4320000
2018-02-09,232.789993,237.119995,226.25,235.5,201.196259,4328200
2018-02-12,237.860001,245.479996,237.5,244.399994,208.79982,3506300
2018-02-13,241.009995,246.029999,240.059998,245.860001,210.047165,2371900
2018-02-14,245.0,248.649994,243.479996,247.660004,211.584991,2549100
2018-02-15,249.279999,251.839996,244.429993,251.830002,215.147568,2554000
2018-02-16,251.270004,252.369995,248.039993,248.889999,212.635803,3263900
2018-02-20,248.75,255.740005,247.520004,249.619995,213.25946,4169300
2018-02-21,252.490005,253.470001,248.449997,248.619995,212.405136,2815600
2018-02-22,249.119995,253.100006,248.270004,249.350006,213.028824,1934200
2018-02-23,252.139999,255.029999,250.289993,253.710007,216.753723,1828000
2018-02-26,251.960007,254.440002,251.0,252.949997,216.104401,2887800
2018-02-27,252.089996,255.669998,251.679993,251.809998,215.130478,2117600
2018-02-28,254.080002,254.490005,245.979996,246.460007,210.559769,2883400
2018-03-01,245.860001,249.119995,241.309998,243.309998,207.868622,2604400
2018-03-02,240.429993,251.179993,240.229996,250.869995,214.327408,2740200
2018-03-05,249.899994,251.339996,243.419998,246.979996,211.003998,2590000
2018-03-06,249.309998,251.300003,247.320007,250.960007,214.404297,3003000
2018-03-07,248.690002,249.399994,244.330002,247.050003,211.063797,3154900
2018-03-08,248.259995,248.300003,245.919998,246.949997,210.978409,3355400
2018-03-09,248.580002,254.279999,247.630005,253.779999,216.813507,3078200
2018-03-12,260.649994,264.299988,259.619995,262.839996,224.553787,5388100
2018-03-13,266.429993,273.850006,260.230011,261.220001,223.169785,6685500
2018-03-14,262.0,262.339996,255.149994,260.589996,222.631531,3961900
2018-03-15,263.730011,268.899994,263.5,267.76001,228.757156,5799000
2018-03-16,263.0,263.600006,254.410004,254.869995,217.744751,11395500
2018-03-19,253.100006,256.48999,242.770004,244.949997,209.269714,7126700
2018-03-20,245.100006,248.050003,241.279999,242.360001,207.056976,6191800
2018-03-21,240.580002,250.589996,240.059998,246.0,213.246307,5491200
2018-03-22,242.029999,246.720001,241.5,243.570007,211.139877,4307800
2018-03-23,243.380005,245.220001,240.410004,242.479996,210.195038,5907000
2018-03-26,247.669998,248.830002,240.509995,247.729996,214.745987,4871300
2018-03-27,248.080002,254.25,241.600006,244.369995,211.833328,6391700
2018-03-28,244.080002,246.929993,235.600006,236.679993,205.167252,4174400
2018-03-29,238.089996,240.839996,234.759995,235.649994,204.274384,4687400
2018-04-02,233.949997,236.119995,225.440002,227.679993,197.36554,5308800
2018-04-03,230.860001,236.979996,227.210007,236.779999,205.253937,4556900
2018-04-04,230.050003,237.919998,229.5,236.990005,205.435959,3772000
2018-04-05,240.759995,241.679993,235.0,236.309998,204.846512,3579800
