Date,Open,High,Low,Close,Adj Close,Volume
2017-12-29,8.985714,9.028571,8.907142,9.000000,8.431868,15271198
2018-01-02,9.007142,9.128571,8.964285,9.092857,8.518863,22667033
2018-01-03,9.064285,9.242857,9.064285,9.221428,8.639318,31876899
2018-01-04,9.207142,9.221428,9.142857,9.164285,8.585781,22631336
2018-01-05,9.142857,9.214285,9.107142,9.200000,8.619242,24451198
2018-01-08,9.192857,9.450000,9.192857,9.364285,8.773156,53366817
2018-01-09,9.350000,9.385714,9.285714,9.335714,8.746389,20427184
2018-01-10,9.307142,9.371428,9.285714,9.321428,8.733005,23206034
2018-01-11,9.321428,9.321428,9.235714,9.242857,8.659394,20710295
2018-01-12,9.257142,9.350000,9.228571,9.285714,8.699545,26415019
2018-01-15,9.278571,9.278571,9.100000,9.121428,8.545630,24401725
2018-01-16,9.271428,9.335714,9.207142,9.264285,8.679469,23244377
2018-01-17,9.250000,9.471428,9.200000,9.371428,8.779848,41411416
2018-01-18,9.321428,9.442857,9.314285,9.378571,8.786539,23551123
2018-01-19,9.392857,9.514285,9.371428,9.457142,8.860151,35669597
2018-01-22,9.450000,9.600000,9.421428,9.535714,8.933764,34934141
2018-01-23,9.564285,9.571428,9.450000,9.492857,8.893612,24826200
2018-01-24,9.492857,9.492857,9.400000,9.471428,8.873535,23282490
2018-01-25,9.478571,9.485714,9.400000,9.442857,8.846768,25396543
2018-01-26,9.414285,9.428571,9.314285,9.392857,8.799925,22666228
2018-01-29,9.400000,9.485714,9.378571,9.400000,8.806617,28243230
2018-01-30,9.392857,9.407142,9.285714,9.292857,8.706237,20111855
2018-01-31,9.278571,9.285714,9.142857,9.171428,8.592473,21784184
2018-02-01,9.150000,9.207142,8.964285,8.971428,8.405099,26503468
2018-02-02,8.950000,9.142857,8.842857,9.078571,8.505478,20616178
2018-02-05,9.000000,9.128571,8.971428,9.121428,8.545630,16604543
2018-02-06,9.000000,9.128571,8.935714,9.035714,8.465326,39084981
2018-02-07,9.100000,9.200000,8.942857,8.942857,8.378331,26272169
2018-02-08,8.935714,9.021428,8.857142,8.928571,8.364946,19015666
2018-02-09,8.785714,8.785714,8.321428,8.492857,7.956738,41652759
2018-02-12,8.507142,8.542857,8.400000,8.492857,7.956738,22368360
2018-02-13,8.514285,8.564285,8.457142,8.471428,7.936662,17499095
2018-02-14,8.492857,8.507142,8.314285,8.357142,7.829591,21064458
2018-02-22,8.407142,8.507142,8.371428,8.492857,7.956738,15947499
2018-02-23,8.500000,8.614285,8.492857,8.557142,8.016964,17203816
2018-02-26,8.664285,8.700000,8.592857,8.664285,8.117345,23509974
2018-02-27,8.685714,8.685714,8.535714,8.542857,8.003581,25358284
2018-02-28,8.500000,8.571428,8.450000,8.564285,8.023657,21009452
2018-03-01,8.507142,8.578571,8.471428,8.550000,8.010274,24431415
2018-03-02,8.500000,8.607142,8.450000,8.592857,8.050426,29705820
2018-03-05,8.571428,8.628571,8.550000,8.607142,8.063809,20492005
2018-03-06,8.585714,8.671428,8.585714,8.657142,8.110652,22533109
2018-03-07,8.657142,8.664285,8.557142,8.557142,8.016964,19463841
2018-03-08,8.571428,8.642857,8.542857,8.628571,8.083884,12892573
2018-03-09,8.607142,8.685714,8.571428,8.671428,8.124036,23960118
2018-03-12,8.642857,8.678571,8.600000,8.657142,8.110652,34774527
2018-03-13,8.664285,8.764285,8.592857,8.700000,8.150805,41740696
2018-03-14,8.700000,8.757142,8.614285,8.628571,8.083884,30100385
2018-03-15,8.607142,8.700000,8.578571,8.614285,8.070501,20267535
2018-03-16,8.700000,8.828571,8.642857,8.764285,8.211032,46091151
2018-03-19,8.785714,8.821428,8.657142,8.678571,8.130729,24105172
2018-03-20,8.628571,8.635714,8.528571,8.571428,8.030350,22895129
2018-03-21,8.550000,8.614285,8.500000,8.521428,7.983505,18077274
2018-03-22,8.507142,8.571428,8.457142,8.464285,7.929969,16674571
2018-03-23,8.328571,8.335714,7.807142,7.971428,7.468225,45501964
2018-03-26,7.864285,7.985714,7.714285,7.971428,7.468225,18941227
2018-03-27,8.057142,8.085714,7.985714,8.021428,7.515069,19812970
2018-03-28,7.964285,7.964285,7.864285,7.900000,7.401306,14940909
2018-03-29,7.878571,8.000000,7.878571,7.971428,7.468225,13555322
2018-03-30,7.957142,8.042857,7.957142,8.014285,7.508376,12307297
2018-04-02,8.085714,8.250000,8.085714,8.142857,7.628831,27810259
2018-04-03,8.035714,8.050000,7.914285,8.007142,7.501684,13727345
2018-04-04,8.035714,8.050000,7.957142,7.971428,7.468225,13483122
2018-04-09,7.935714,7.957142,7.864285,7.900000,7.401306,14145511
2018-04-10,7.900000,8.028571,7.885714,7.978571,7.474916,19467922
2018-04-11,7.992857,8.007142,7.907142,7.971428,7.468225,15591350
2018-04-12,7.950000,8.564285,7.914285,8.128571,7.615448,43430175
2018-04-13,8.000000,8.114285,7.964285,8.057142,7.548528,17448641
