date	time	ticker	name	title	summary	link
2021-12-21	2021-12-21 17:15:00	EL	The Estée Lauder Companies Inc.	Walmart heirs to candy conglomerates: Here are the 25 richest families in the US	The wealthiest dynasties have seen many bitter battles over power and inheritance.	https://finance.yahoo.com/news/walmart-heirs-candy-conglomerates-25-180000564.html?.tsrc=rss
2021-12-21	2021-12-21 16:52:00	EL	The Estée Lauder Companies Inc.	When A Good Company Is A Bad Buy	Just because the earnings are strong, doesn't make a stock worth investing in, Real Money's Paul Price says.	https://finance.yahoo.com/m/5f059ea6-fe8b-37ca-8290-e20c9e70ed4c/when-a-good-company-is-a-bad.html?.tsrc=rss
2021-12-21	2021-12-21 11:11:22	EL	The Estée Lauder Companies Inc.	Are Robust Financials Driving The Recent Rally In The Estée Lauder Companies Inc.'s (NYSE:EL) Stock?	Estée Lauder Companies' (NYSE:EL) stock is up by a considerable 11% over the past three months. Given the company's...	https://finance.yahoo.com/news/robust-financials-driving-recent-rally-111122427.html?.tsrc=rss
2021-12-16	2021-12-16 13:38:01	EL	The Estée Lauder Companies Inc.	VIP Consumer Staples Portfolio Buys Lamb Weston Holdings Inc, US Foods Holding Corp, Philip ...	Investment company VIP Consumer Staples Portfolio (Current Portfolio) buys Lamb Weston Holdings Inc, US Foods Holding Corp, Philip Morris International Inc, Treehouse Foods Inc, Post Holdings Inc, sells PepsiCo Inc, Costco Wholesale Corp, Clorox Co, Diageo PLC, The Kroger Co during the 3-months ended 2021Q3, according to the most recent filings of the investment company, VIP Consumer Staples Portfolio.	https://finance.yahoo.com/news/vip-consumer-staples-portfolio-buys-133801915.html?.tsrc=rss
2021-12-15	2021-12-15 15:38:02	EL	The Estée Lauder Companies Inc.	VIP International Capital Appreciation Portfolio Buys Essilorluxottica, RELX PLC, Dassault ...	Investment company VIP International Capital Appreciation Portfolio (Current Portfolio) buys Essilorluxottica, RELX PLC, Dassault Systemes SE, Assa Abloy AB, Cellnex Telecom SA, sells Tencent Holdings, Alibaba Group Holding, Enel SpA, Housing Development Finance Corp, Kering SA during the 3-months ended 2021Q3, according to the most recent filings of the investment company, VIP International Capital Appreciation Portfolio.	https://finance.yahoo.com/news/vip-international-capital-appreciation-portfolio-153802950.html?.tsrc=rss
2021-12-15	2021-12-15 15:31:07	EL	The Estée Lauder Companies Inc.	Everyday Is World AIDS Day at M∙A∙C Cosmetics	To mark the 40th anniversary of the first AIDS related death in the UK, ITN Productions partnered with the British HIV Association, Elton John AIDS Foundation and Terrence Higgins Trust to produce ...	https://finance.yahoo.com/news/everyday-world-aids-day-m-153107152.html?.tsrc=rss
2021-12-14	2021-12-14 00:38:05	EL	The Estée Lauder Companies Inc.	Prudential Variable Contract Account 2 Buys Align Technology Inc, ZoomInfo Technologies Inc, ...	Investment company Prudential Variable Contract Account 2 (Current Portfolio) buys Align Technology Inc, ZoomInfo Technologies Inc, Sea, HubSpot Inc, Williams Inc, sells PTC Inc, FMC Corp, Affirm Holdings Inc, Spotify Technology SA, Uber Technologies Inc during the 3-months ended 2021Q3, according to the most recent filings of the investment company, Prudential Variable Contract Account 2.	https://finance.yahoo.com/news/prudential-variable-contract-account-2-003805836.html?.tsrc=rss
2021-12-13	2021-12-13 14:31:07	EL	The Estée Lauder Companies Inc.	The Latest M.A.C VIVA GLAM x Keith Haring Collection Is the Perfect Holiday Gift That Gives Back	BY KALEIGH FASANELLA	https://finance.yahoo.com/news/latest-m-c-viva-glam-143107567.html?.tsrc=rss
2021-12-08	2021-12-08 15:38:06	EL	The Estée Lauder Companies Inc.	O'Shares U.S. Quality Dividend ETF Buys Blackstone Inc, Abbott Laboratories, Verizon ...	Investment company O'Shares U.S. Quality Dividend ETF (Current Portfolio) buys Blackstone Inc, Abbott Laboratories, Verizon Communications Inc, McDonald's Corp, Gilead Sciences Inc, sells Merck Inc, NextEra Energy Inc, Honeywell International Inc, Cisco Systems Inc, AT&T Inc during the 3-months ended 2021Q3, according to the most recent filings of the investment company, O'Shares U.S.	https://finance.yahoo.com/news/oshares-u-quality-dividend-etf-153806844.html?.tsrc=rss
2021-12-08	2021-12-08 15:38:05	EL	The Estée Lauder Companies Inc.	O'Shares Europe Quality Dividend ETF Buys Roche Holding AG, Nestle SA, LVMH Moet Hennessy Louis ...	Investment company O'Shares Europe Quality Dividend ETF (Current Portfolio) buys Roche Holding AG, Nestle SA, LVMH Moet Hennessy Louis Vuitton SE, Essilorluxottica, Hermes International SA, sells Compagnie Financiere Richemont SA, Kesko Oyj, British American Tobacco PLC, Deutsche Telekom AG, Pernod Ricard SA during the 3-months ended 2021Q3, according to the most recent filings of the investment company, O'Shares Europe Quality Dividend ETF.	https://finance.yahoo.com/news/oshares-europe-quality-dividend-etf-153805821.html?.tsrc=rss
2021-12-08	2021-12-08 15:02:13	EL	The Estée Lauder Companies Inc.	M.A.C's Latest VIVA GLAM x Keith Haring Collection Marks 27 Years of Giving Back 100% to Underserved Communities in Need	By Marissa Oliva	https://finance.yahoo.com/news/m-cs-latest-viva-glam-150213548.html?.tsrc=rss
2021-12-08	2021-12-08 02:06:56	EL	The Estée Lauder Companies Inc.	Should I Avoid The Estee Lauder Companies Inc (EL)?	A whopping number of 13F filings filed with U.S. Securities and Exchange Commission has been processed by Insider Monkey so that individual investors can look at the overall hedge fund sentiment towards the stocks included in their watchlists. These freshly-submitted public filings disclose money managers’ equity positions as of the end of the three-month period […]	https://finance.yahoo.com/news/avoid-estee-lauder-companies-inc-020656211.html?.tsrc=rss
2021-12-06	2021-12-06 22:38:02	EL	The Estée Lauder Companies Inc.	Oakmark International Fund Buys Prosus NV, Worldline SA, Vipshop Holdings, Sells Naspers, ...	Investment company Oakmark International Fund (Current Portfolio) buys Prosus NV, Worldline SA, Vipshop Holdings, Samsung Electronics Co, Anheuser-Busch InBev SA/NV, sells Naspers, Glencore PLC, Essilorluxottica, Cenovus Energy Inc, AMP during the 3-months ended 2021Q3, according to the most recent filings of the investment company, Oakmark International Fund.	https://finance.yahoo.com/news/oakmark-international-fund-buys-prosus-223802635.html?.tsrc=rss
2021-12-06	2021-12-06 13:24:20	EL	The Estée Lauder Companies Inc.	Here’s Why Harding Loevner Sold its Estée Lauder (EL) Stake	Harding Loevner, an investment management firm, published its “Global Equity Fund” third-quarter 2021 investor letter – a copy of which can be downloaded here. A return of -1.31% was recorded by the fund for the third quarter of 2021, trailing its Benchmark, the MSCI World Index, which returned 0.09% for the same period. You can […]	https://finance.yahoo.com/news/why-harding-loevner-sold-est-132420503.html?.tsrc=rss
2021-12-03	2021-12-03 15:36:07	EL	The Estée Lauder Companies Inc.	M·A·C Cosmetics, Fashion Designer Gareth Pugh and Writer/Director Carson McColl Host London Vigil Marking 40 Years Since the Discovery of AIDS	In honor of World AIDS Day, M·A·C Cosmetics, fashion designer Gareth Pugh and writer/director Carson McColl, organized a candlelight vigil at Carnaby Street in London to honor the millions of peopl...	https://finance.yahoo.com/news/m-c-cosmetics-fashion-designer-153607871.html?.tsrc=rss
2021-12-02	2021-12-02 16:31:04	EL	The Estée Lauder Companies Inc.	Estee Lauder (EL) Down 4.4% Since Last Earnings Report: Can It Rebound?	Estee Lauder (EL) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.	https://finance.yahoo.com/news/estee-lauder-el-down-4-163104395.html?.tsrc=rss
