date	time	ticker	name	title	summary	link
2021-12-30	2021-12-30 12:00:00	MMM	3M Company	3 Dividend Kings That Are Yielding More Than 3%	Dividend Kings are among the safest dividend growth stocks you can invest in.  At a time when inflation is high and eroding purchasing power, a rising dividend can be a way to help fight that and ensure investors' dividend income isn't diminishing over time.  Three Dividend Kings to consider today are AbbVie (NYSE: ABBV), 3M (NYSE: MMM), and Northwest Natural Holding (NYSE: NWN).	https://finance.yahoo.com/m/e80b879c-5cb5-304a-9fec-98874caff24b/3-dividend-kings-that-are.html?.tsrc=rss
2021-12-28	2021-12-28 22:50:10	MMM	3M Company	3M (MMM) Gains As Market Dips: What You Should Know	In the latest trading session, 3M (MMM) closed at $177.64, marking a +0.53% move from the previous day.	https://finance.yahoo.com/news/3m-mmm-gains-market-dips-225010344.html?.tsrc=rss
2021-12-27	2021-12-27 17:52:37	MMM	3M Company	Medtronic taps former 3M chief legal officer as general counsel	Medtronic announced earlier this month that it appointed Ivan Fong to serve as the company's general counsel and secretary.  Fong joins the medical device manufacturer from 3M Co. (NYSE: MMM), where he served as chief legal and policy officer and secretary.	https://finance.yahoo.com/m/d12adc47-af42-3b32-8d53-e8e60d2c4e99/medtronic-taps-former-3m.html?.tsrc=rss
2021-12-25	2021-12-25 18:38:02	MMM	3M Company	Pioneer Fund  Buys Live Nation Entertainment Inc, PayPal Holdings Inc, Electronic Arts Inc, ...	Investment company Pioneer Fund (Current Portfolio) buys Live Nation Entertainment Inc, PayPal Holdings Inc, Electronic Arts Inc, Regeneron Pharmaceuticals Inc, Planet Fitness Inc, sells Mastercard Inc, NVIDIA Corp, Freeport-McMoRan Inc, Visa Inc, 3M Co during the 3-months ended 2021Q3, according to the most recent filings of the investment company, Pioneer Fund .	https://finance.yahoo.com/news/pioneer-fund-buys-live-nation-183802796.html?.tsrc=rss
2021-12-21	2021-12-21 22:45:10	MMM	3M Company	3M (MMM) Gains But Lags Market: What You Should Know	3M (MMM) closed at $172.92 in the latest trading session, marking a +0.16% move from the prior day.	https://finance.yahoo.com/news/3m-mmm-gains-lags-market-224510241.html?.tsrc=rss
2021-12-21	2021-12-21 21:59:06	MMM	3M Company	3 Stocks You Can Confidently Buy After a Market Downturn	If you are looking for stocks to put on your wish list in case the market takes a nosedive, this trio of names should be right at the top.	https://finance.yahoo.com/m/abaa062e-b564-3819-9173-199207c0ac4f/3-stocks-you-can-confidently.html?.tsrc=rss
2021-12-21	2021-12-21 17:00:00	MMM	3M Company	Could This Stock Beat 3M?	"In this segment of ""Industry Focus"" on Motley Fool Live, recorded on Dec. 2, Fool analysts Nick Sciple and Auri Hughes discuss how XPEL (NASDAQ: XPEL) can compete with and outperform 3M (NYSE: MMM).  Nick Sciple: One question, I think a lot of folks have and you mentioned earlier 3M also a player in the paint protection film industry.  Why isn't this a commodity or how do you think about potential risks from competition facing XPEL, and how do you think they may be able to fend those off?"	https://finance.yahoo.com/m/792cbdc8-c8d4-335f-bba7-87ee4db5a1ff/could-this-stock-beat-3m%3F.html?.tsrc=rss
2021-12-21	2021-12-21 16:01:01	MMM	3M Company	10 Dividend Stocks in Billionaire Richard Chilton’s Portfolio	In this article, we will look at 10 dividend stocks in Billionaire Richard Chilton’s Portfolio. If you want to skip our detailed analysis of these stocks, Chilton Investment Company’s past performance, and billionaire Richard Chilton’s investment philosophy, you can head on to 5 Dividend Stocks in Billionaire Richard Chilton’s Portfolio. Richard Chilton is an American investor […]	https://finance.yahoo.com/news/10-dividend-stocks-billionaire-richard-160101998.html?.tsrc=rss
2021-12-21	2021-12-21 10:35:00	MMM	3M Company	Sievi Capital’s financial information and Annual General Meeting in 2022	Sievi Capital PlcStock Exchange Release 21 December 2021 at 12.35 pm EET Sievi Capital’s financial information and Annual General Meeting in 2022 Sievi Capital Plc will publish the following financial reports in 2022: – Financial Statement Release for 2021 on Thursday, 3 March 2022– Annual Report for 2021 on week 10– Business Review for January-March 2022 on Thursday, 5 May 2022– Half-Year Report for January-June 2022 on Wednesday, 17 August 2022– Business Review for January-September 2022 on Th	https://finance.yahoo.com/news/sievi-capital-financial-information-annual-103500459.html?.tsrc=rss
2021-12-20	2021-12-20 22:50:10	MMM	3M Company	3M (MMM) Dips More Than Broader Markets: What You Should Know	3M (MMM) closed the most recent trading day at $172.64, moving -1.21% from the previous trading session.	https://finance.yahoo.com/news/3m-mmm-dips-more-broader-225010992.html?.tsrc=rss
