date	time	ticker	name	title	summary	link
2021-12-31	2021-12-31 05:53:02	PEP	PepsiCo, Inc.	7 Anti-Meme Stocks to Buy as Risk-On Sentiment Fades	Early this year, Wall Street analysts lay witness to one of the boldest forms of contrarian investment tactics ever: deliberately betting on heavily shorted securities which sport poor fundamentals. As we recognize today, this wildly speculative move gave birth to the meme-trade phenomenon. But with risk-on assets appearing to be losing much of their flavor, it may be time to consider anti-meme stocks. At the moment, though, the sentiment going into the December-end celebrations seems to be reve	https://finance.yahoo.com/news/7-anti-meme-stocks-buy-055302001.html?.tsrc=rss
2021-12-29	2021-12-29 22:50:10	PEP	PepsiCo, Inc.	PepsiCo (PEP) Outpaces Stock Market Gains: What You Should Know	PepsiCo (PEP) closed the most recent trading day at $172.97, moving +0.35% from the previous trading session.	https://finance.yahoo.com/news/pepsico-pep-outpaces-stock-market-225010687.html?.tsrc=rss
2021-12-28	2021-12-28 15:59:58	PEP	PepsiCo, Inc.	Is BYND Stock A Buy Or Sell After Earnings?	Beyond Meat has announced a slew of partnerships in 2021, but growth is slowing and losses mounting. Is BYND stock a buy?	https://finance.yahoo.com/m/76c945e7-4ce0-306f-882d-62dc7ae869b0/is-bynd-stock-a-buy-or-sell.html?.tsrc=rss
2021-12-28	2021-12-28 04:38:10	PEP	PepsiCo, Inc.	Advisors' Inner Circle Fund III Buys Petroleo Brasileiro SA Petrobras, Devon Energy Corp, ...	Investment company Advisors' Inner Circle Fund III (Current Portfolio) buys Petroleo Brasileiro SA Petrobras, Devon Energy Corp, Sberbank of Russia PJSC, Rosneft Oil Co, Johnson & Johnson, sells TotalEnergies SE, Nestle SA, Lockheed Martin Corp, Altria Group Inc, Enel SpA during the 3-months ended 2021Q3, according to the most recent filings of the investment company, Advisors' Inner Circle Fund III.	https://finance.yahoo.com/news/advisors-inner-circle-fund-iii-043810601.html?.tsrc=rss
2021-12-28	2021-12-28 04:38:09	PEP	PepsiCo, Inc.	Advisors' Inner Circle Fund III Buys Devon Energy Corp, Johnson & Johnson, Exxon Mobil ...	Investment company Advisors' Inner Circle Fund III (Current Portfolio) buys Devon Energy Corp, Johnson & Johnson, Exxon Mobil Corp, Blackstone Inc, Chevron Corp, sells Lockheed Martin Corp, Progressive Corp, TotalEnergies SE during the 3-months ended 2021Q3, according to the most recent filings of the investment company, Advisors' Inner Circle Fund III.	https://finance.yahoo.com/news/advisors-inner-circle-fund-iii-043809452.html?.tsrc=rss
2021-12-28	2021-12-28 02:38:06	PEP	PepsiCo, Inc.	GraniteShares ETF Trust Buys Visa Inc, Comcast Corp, PepsiCo Inc, Sells Tesla Inc, JPMorgan ...	Investment company GraniteShares ETF Trust (Current Portfolio) buys Visa Inc, Comcast Corp, PepsiCo Inc, Medtronic PLC, United Parcel Service Inc, sells Tesla Inc, JPMorgan Chase, Mastercard Inc, Netflix Inc, McDonald's Corp during the 3-months ended 2021Q3, according to the most recent filings of the investment company, GraniteShares ETF Trust.	https://finance.yahoo.com/news/graniteshares-etf-trust-buys-visa-023806041.html?.tsrc=rss
2021-12-27	2021-12-27 15:06:32	PEP	PepsiCo, Inc.	Food trends: Eating at home has become a ‘more permanent change,’ analyst says	Bryan Spillane, BofA Global Research senior food and beverage analyst, joins Yahoo Finance Live to discuss trends affecting food and beverage stocks and the outlook for M&A activity going into 2022.	https://finance.yahoo.com/video/food-trends-eating-home-become-150632987.html?.tsrc=rss
2021-12-23	2021-12-23 14:01:40	PEP	PepsiCo, Inc.	10 Dividend Stocks to Buy According to Billionaire Louis Bacon	In this article, we discuss the 10 dividend stocks to buy according to billionaire Louis Bacon. If you want to skip our detailed analysis of Bacon’s history, investment philosophy, and hedge fund performance, go directly to the 5 Dividend Stocks to Buy According to Billionaire Louis Bacon. Louis Moore Bacon is a philanthropist, hedge fund manager, […]	https://finance.yahoo.com/news/10-dividend-stocks-buy-according-140140804.html?.tsrc=rss
2021-12-22	2021-12-22 15:51:03	PEP	PepsiCo, Inc.	PepsiCo's (PEP) Doritos Brings New Flavor to Woo Customers	PepsiCo's (PEP) Doritos introduces the Doritos Flamin' Hot Cool Ranch Flavored Tortilla Chips, just in time for the holiday season.	https://finance.yahoo.com/news/pepsicos-pep-doritos-brings-flavor-155103559.html?.tsrc=rss
2021-12-22	2021-12-22 12:23:36	PEP	PepsiCo, Inc.	Culver's to add second location in the Triad	Culver's has a location for its second Triad restaurant.  The burgers-and-custard chain from Wisconsin will have a franchise just north of Interstate 40 on Union Cross Road in Kernersville.  Culver's will be just south of Quality Mart along Pecan Lane, which also serves the new Cracker Barrel Old Country Store and the planned Grand at Union Cross apartment community.	https://finance.yahoo.com/m/49140648-4dac-38aa-9c8d-01e3e4b4aaee/culver%27s-to-add-second.html?.tsrc=rss
