date	time	ticker	name	title	summary	link
2021-12-31	2021-12-31 22:50:10	TMO	Thermo Fisher Scientific Inc.	Thermo Fisher Scientific (TMO) Gains As Market Dips: What You Should Know	Thermo Fisher Scientific (TMO) closed the most recent trading day at $667.24, moving +0.27% from the previous trading session.	https://finance.yahoo.com/news/thermo-fisher-scientific-tmo-gains-225010452.html?.tsrc=rss
2021-12-31	2021-12-31 15:05:03	TMO	Thermo Fisher Scientific Inc.	3 Reasons to Add McKesson (MCK) Stock to Your Portfolio	Investors continue to be optimistic about McKesson (MCK) owing to its robust Biologics business.	https://finance.yahoo.com/news/3-reasons-add-mckesson-mck-150503447.html?.tsrc=rss
2021-12-31	2021-12-31 13:32:01	TMO	Thermo Fisher Scientific Inc.	Thermo Fisher (TMO) Hits a 52-Week High: What's Driving It?	Strength in end markets and significant contribution from COVID-response related revenues are driving Thermo Fisher's (TMO) top line.	https://finance.yahoo.com/news/thermo-fisher-tmo-hits-52-133201518.html?.tsrc=rss
2021-12-30	2021-12-30 21:05:00	TMO	Thermo Fisher Scientific Inc.	Thermo Fisher Scientific to Present at the 2022 Goldman Healthcare CEOs Unscripted Conference	Thermo Fisher Scientific Inc. (NYSE: TMO), the world leader in serving science, announced that Marc N. Casper, chairman, president and chief executive officer, will present virtually at the 2022 Goldman Healthcare CEOs Unscripted Conference on Thursday, January 6, 2022, at 9:00 a.m. (EDT).	https://finance.yahoo.com/news/thermo-fisher-scientific-present-2022-210500850.html?.tsrc=rss
2021-12-30	2021-12-30 16:07:04	TMO	Thermo Fisher Scientific Inc.	Quidel's (QDEL) Antigen Tests Successful in Omicron Detection	The success of Quidel's (QDEL) antigen tests against Omicron is expected to lead to better access to affordable COVID-19 testing.	https://finance.yahoo.com/news/quidels-qdel-antigen-tests-successful-160704055.html?.tsrc=rss
2021-12-29	2021-12-29 23:00:11	TMO	Thermo Fisher Scientific Inc.	Thermo Fisher Scientific (TMO) Outpaces Stock Market Gains: What You Should Know	In the latest trading session, Thermo Fisher Scientific (TMO) closed at $662.73, marking a +1.12% move from the previous day.	https://finance.yahoo.com/news/thermo-fisher-scientific-tmo-outpaces-230011540.html?.tsrc=rss
2021-12-29	2021-12-29 18:47:06	TMO	Thermo Fisher Scientific Inc.	Should You Invest in the iShares U.S. Healthcare ETF (IYH)?	Sector ETF report for IYH	https://finance.yahoo.com/news/invest-ishares-u-healthcare-etf-184706287.html?.tsrc=rss
2021-12-29	2021-12-29 16:27:04	TMO	Thermo Fisher Scientific Inc.	Here's Why You Should Hold on to Glaukos (GKOS) Stock Now	Glaukos Corporation (GKOS) continues to benefit from a robust product portfolio and solid performing iStent technology.	https://finance.yahoo.com/news/heres-why-hold-glaukos-gkos-162704972.html?.tsrc=rss
2021-12-29	2021-12-29 16:27:04	TMO	Thermo Fisher Scientific Inc.	Envista (NVST) Gets FDA 510 (k) Approval for N1 Implant System	Envista (NVST) noted that the Nobel Biocare N1 system represents a significant step further in patient-centric dental implant solutions.	https://finance.yahoo.com/news/envista-nvst-gets-fda-510-162704488.html?.tsrc=rss
2021-12-29	2021-12-29 16:05:04	TMO	Thermo Fisher Scientific Inc.	PacBio's (PACB) New Surveillance Kit Successful Against Omicron	PacBio's (PACB) latest surveillance kit is expected to aid public health entities to better answer critical questions about Omicron and its impacts.	https://finance.yahoo.com/news/pacbios-pacb-surveillance-kit-successful-160504597.html?.tsrc=rss
