date	time	ticker	name	title	summary	link
2021-12-30	2021-12-30 23:29:09	TTE	TotalEnergies SE	Progress Residential 2021-SFR11 Trust -- Moody's assigns definitive ratings to Progress Residential 2021-SFR11 Trust	"Rating Action: Moody's assigns definitive ratings to Progress Residential 2021-SFR11 TrustGlobal Credit Research - 30 Dec 2021New York, December 30, 2021 -- Moody's Investors Service (""Moody's"") has assigned definitive ratings to four classes of certificates backed by one fixed-rate loan secured by mortgages on 1,474 single-family rental properties owned by Progress Residential (Progress) 2021-SFR11 Trust securitization.The complete rating action is as follows:Issuer: Progress Residential 2021-SFR11 TrustCl.  A, Definitive Rating Assigned Aaa (sf)Cl. B, Definitive Rating Assigned Aa3 (sf)Cl. C, Definitive Rating Assigned A3 (sf)Cl. D, Definitive Rating Assigned Baa3 (sf)RATINGS RATIONALEOverviewThe transaction's Aaa advance rate (the ratio of senior certificate to the Moody's Value) is 35.94%."	https://finance.yahoo.com/news/progress-residential-2021-sfr11-trust-232909353.html?.tsrc=rss
2021-12-30	2021-12-30 23:20:05	TTE	TotalEnergies SE	Grand County School District 2 (East Grand), CO -- Moody's downgrades Grand County SD 2, CO's issuer rating to A1 and outstanding GOULT bonds to Aa3	Rating Action: Moody's downgrades Grand County SD 2, CO's issuer rating to A1 and outstanding GOULT bonds to Aa3Global Credit Research - 30 Dec 2021Assigns Aa3 UND/Aa2 ENH to GOULT bondsNew York, December 30, 2021 -- Moody's Investors Service has downgraded Grand County School District 2 (East Grand), CO's issuer rating to A1 from Aa2.  Moody's also downgraded the district's general obligation unlimited tax (GOULT) bonds to Aa3 from Aa1.	https://finance.yahoo.com/news/grand-county-school-district-2-232005997.html?.tsrc=rss
2021-12-30	2021-12-30 22:52:05	TTE	TotalEnergies SE	J.P. Morgan Mortgage Trust 2021-INV8 -- Moody's assigns Definitive ratings to Prime RMBS issued by J.P. Morgan Mortgage Trust 2021-INV8	"Rating Action: Moody's assigns Definitive ratings to Prime RMBS issued by J.P. Morgan Mortgage Trust 2021-INV8Global Credit Research - 30 Dec 2021New York, December 30, 2021 -- Moody's Investors Service (""Moody's"") has assigned Definitive ratings to 21 classes of residential mortgage-backed securities (RMBS) issued by J.P. Morgan Mortgage Trust (JPMMT) 2021-INV8.  The ratings range from Aaa (sf) to B3 (sf).JPMMT 2021-INV8 is the eighth JPMMT transaction in 2021 backed by 100% investment property loans acquired by J.P. Morgan Mortgage Acquisition Corporation (JPMMAC).  JPMMT 2021-INV8 is a securitization backed by 1,324 fixed rate, non-owner occupied mortgage loans (designated for investment purposes by the borrower), with an aggregate unpaid principal balance (UPB) of approximately $510,419,662.Four third-party review (TPR) firms verified the accuracy of the loan level information."	https://finance.yahoo.com/news/j-p-morgan-mortgage-trust-225205121.html?.tsrc=rss
2021-12-30	2021-12-30 22:29:06	TTE	TotalEnergies SE	SCF Equipment Leasing 2021-1 LLC/SCF Equipment Leasing Canada 2021-1 Limited Partnership -- Moody's - North American Equipment Lease and Loan ABS: Percentage of assets with unrated obligors in concentrated and mixed pools	"Announcement: Moody's - North American Equipment Lease and Loan ABS: Percentage of assets with unrated obligors in concentrated and mixed poolsGlobal Credit Research - 30 Dec 2021New York, December 30, 2021 -- Moody's Investors Service (""Moody's"") reviews the available information on the collateral backing North American equipment lease and loan ABS transactions that have concentrated or mixed pools (granular pools with a few disproportionately large obligors) to monitor the percentage of assets with unrated obligors in connection with its ratings of such transactions.  All rights reserved.CREDIT RATINGS ISSUED BY MOODY'S CREDIT RATINGS AFFILIATES ARE THEIR CURRENT OPINIONS OF THE RELATIVE FUTURE CREDIT RISK OF ENTITIES, CREDIT COMMITMENTS, OR DEBT OR DEBT-LIKE SECURITIES, AND MATERIALS, PRODUCTS, SERVICES AND INFORMATION PUBLISHED BY MOODY’S (COLLECTIVELY, “PUBLICATIONS”) MAY INCLUDE SUCH CURRENT OPINIONS."	https://finance.yahoo.com/news/scf-equipment-leasing-2021-1-222906891.html?.tsrc=rss
2021-12-29	2021-12-29 19:36:08	TTE	TotalEnergies SE	Winston-Salem (City of) NC -- Moody's assigns Aa1 to Winston-Salem, NC's LOBs; outlook stable	Rating Action: Moody's assigns Aa1 to Winston-Salem, NC's LOBs; outlook stableGlobal Credit Research - 29 Dec 2021New York, December 29, 2021 -- Moody's Investors Service has assigned a Aa1 rating to the City of Winston-Salem, NC's $15.6 million Limited Obligation Bonds, Series 2022A and $40.7 million Taxable Limited Obligation Refunding Bonds, Series 2022B.  All rights reserved.CREDIT RATINGS ISSUED BY MOODY'S CREDIT RATINGS AFFILIATES ARE THEIR CURRENT OPINIONS OF THE RELATIVE FUTURE CREDIT RISK OF ENTITIES, CREDIT COMMITMENTS, OR DEBT OR DEBT-LIKE SECURITIES, AND MATERIALS, PRODUCTS, SERVICES AND INFORMATION PUBLISHED BY MOODY’S (COLLECTIVELY, “PUBLICATIONS”) MAY INCLUDE SUCH CURRENT OPINIONS.	https://finance.yahoo.com/news/winston-salem-city-nc-moodys-193608716.html?.tsrc=rss
2021-12-29	2021-12-29 07:00:00	TTE	TotalEnergies SE	TotalEnergies SE: Disclosure of Transactions in Own Shares	PARIS, December 29, 2021-- In accordance with the authorization given by the ordinary shareholders’ general meeting on May 28, 2021 to trade on its shares and pursuant to applicable law on share repurchase, TotalEnergies SE (LEI: 529900S21EQ1BO4ESM68) (Paris:TTE) (LSE:TTE) (NYSE:TTE) declares the following purchases of its own shares (FR0000120271) from December 20 to December 24, 2021:	https://finance.yahoo.com/news/totalenergies-se-disclosure-transactions-own-070000631.html?.tsrc=rss
2021-12-29	2021-12-29 05:57:05	TTE	TotalEnergies SE	Series 2008-1 REDS Trust -- Moody's: No rating impact on BOQ's Series 2008-1 REDS Trust after collateral substitution	Alternatively, please see the Rating Methodologies page on www.moodys.com for a copy of this methodology.Moody's opinion addresses only the credit impact associated with the Substitution and does not express any opinion as to whether the Substitution has, or could have, other non-credit-related effects that may have a detrimental impact on the interests of noteholders and/or counterparties.This publication does not announce a credit rating action.  For any credit ratings referenced in this publication, please see the ratings tab on the issuer/entity page on www.moodys.com for the most updated credit rating action information and rating history.  Alena Chen VP - Senior Credit Officer Structured Finance Group Moody's Investors Service Pty. Ltd. Level 10 1 O'Connell Street Sydney NSW 2000 Australia JOURNALISTS: 61 2 9270 8141 Client Service: 852 3551 3077  Ilya Serov Associate Managing Director Structured Finance Group JOURNALISTS: 61 2 9270 8141 Client Service: 852 3551 3077  Releasing Office: Moody's Investors Service Pty. Ltd. Level 10 1 O'Connell Street Sydney NSW 2000 Australia JOURNALISTS: 61 2 9270 8141 Client Service: 852 3551 3077  © 2021 Moody’s Corporation, Moody’s Investors Service, Inc., Moody’s Analytics, Inc. and/or their licensors and affiliates (collectively, “MOODY’S”).	https://finance.yahoo.com/news/series-2008-1-reds-trust-055705276.html?.tsrc=rss
2021-12-28	2021-12-28 19:36:05	TTE	TotalEnergies SE	Conroe Independent School District, TX -- Moody's assigns Aa1 UND/Aaa ENH to Conroe ISD, TX's GOULT bonds, Ser. 2022; underlying rating outlook is stable	Rating Action: Moody's assigns Aa1 UND/Aaa ENH to Conroe ISD, TX's GOULT bonds, Ser.  2022; underlying rating outlook is stableGlobal Credit Research - 28 Dec 2021New York, December 28, 2021 -- Moody's Investors Service has assigned Aa1 underlying and Aaa enhanced ratings to Conroe Independent School District, TX's $152.1 million Unlimited Tax School Building Bonds, Series 2022.	https://finance.yahoo.com/news/conroe-independent-school-district-tx-193605535.html?.tsrc=rss
2021-12-28	2021-12-28 19:33:06	TTE	TotalEnergies SE	Conroe Independent School District, TX -- Moody's assigns Aa1 UND/Aaa ENH to Conroe ISD, TX's GOULT bonds, Ser. 2022; underlying rating outlook is stable	Rating Action: Moody's assigns Aa1 UND/Aaa ENH to Conroe ISD, TX's GOULT bonds, Ser.  2022; underlying rating outlook is stableGlobal Credit Research - 28 Dec 2021New York, December 28, 2021 -- Moody's Investors Service has assigned Aa1 underlying and Aaa enhanced ratings to Conroe Independent School District, TX's $152.1 million Unlimited Tax School Building Bonds, Series 2022.	https://finance.yahoo.com/news/conroe-independent-school-district-tx-193306531.html?.tsrc=rss
2021-12-28	2021-12-28 07:03:06	TTE	TotalEnergies SE	[non-NRSRO] Renor Master 2012 -- Moody's assigns definitive ratings to Renor Master 2112 backed by installment sales receivables	"The first trustee then issues the Class I Series 2112 Senior Beneficial Interests, the Class II Series 2112 Senior Beneficial Interests (""Class I Series Senior Beneficial Interests"" and ""Class II Series Senior Beneficial Interests"", respectively) and the Subordinated Beneficial Interests.Entrustment of the receivables is perfected against third parties under the Perfection Law.  Perfection against obligors is not made unless certain events occur.The seller holds the Subordinated Beneficial Interests and transfers the Class I Series Senior Beneficial Interests to investors through the arranger and the Class II Series Senior Beneficial Interests to the second trustee.The transfer of the Class I Series Senior Beneficial Interests and the Class II Series Senior Beneficial Interests is perfected against the trustee and third parties under Article 94 of Japan's Trust Law.The settlor entrusts cash to the second trustee."	https://finance.yahoo.com/news/non-nrsro-renor-master-2012-070306272.html?.tsrc=rss
