Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,139.660004,139.949997,138.720001,139.229996,125.192604,6842100
2018-01-03,139.360001,140.679993,138.899994,140.559998,126.388504,5350500
2018-01-04,140.449997,141.139999,140.220001,140.550003,126.379524,4837600
2018-01-05,140.690002,141.820007,140.279999,141.710007,127.422592,6158800
2018-01-08,141.699997,142.0,140.919998,141.889999,127.584435,5129800
2018-01-09,142.369995,145.679993,142.259995,144.139999,129.607559,8897000
2018-01-10,143.550003,144.160004,143.320007,143.970001,129.454727,6558600
2018-01-11,144.130005,144.899994,143.690002,144.789993,130.192062,4962200
2018-01-12,144.990005,146.419998,144.899994,145.759995,131.06424,5450600
2018-01-16,146.419998,148.059998,146.029999,146.860001,132.053375,8804000
2018-01-17,147.839996,148.320007,145.479996,146.979996,132.161255,10619700
2018-01-18,146.929993,147.440002,145.970001,146.919998,132.107285,5554800
2018-01-19,147.460007,147.649994,146.419998,147.360001,132.502914,8738800
2018-01-22,147.009995,148.139999,146.720001,148.139999,133.204315,7010400
2018-01-23,146.960007,147.440002,141.619995,141.830002,127.530495,17473600
2018-01-24,143.5,143.559998,141.800003,142.070007,127.746269,13034400
2018-01-25,142.309998,144.660004,142.210007,144.399994,129.841354,7938800
2018-01-26,144.5,145.600006,144.130005,145.330002,130.677612,8065600
2018-01-29,144.850006,144.940002,143.529999,143.679993,129.19397,8013400
2018-01-30,143.399994,143.820007,142.429993,142.429993,128.069977,8376100
2018-01-31,142.570007,142.570007,138.100006,138.190002,124.257484,13137400
2018-02-01,137.529999,140.669998,137.0,140.020004,125.902962,9393600
2018-02-02,139.020004,140.360001,137.380005,137.679993,123.798889,9262500
2018-02-05,136.580002,137.0,122.150002,130.389999,117.243866,19954100
2018-02-06,130.009995,132.990005,128.0,131.830002,118.538689,19193500
2018-02-07,131.889999,133.429993,131.350006,131.419998,118.170029,10550400
2018-02-08,130.910004,131.25,126.110001,126.360001,113.620186,11680200
2018-02-09,127.519997,130.919998,125.440002,129.529999,116.470566,15030900
2018-02-12,130.0,131.320007,127.68,130.270004,117.135979,9963900
2018-02-13,129.210007,130.600006,128.699997,129.960007,116.857239,6339000
2018-02-14,129.440002,130.009995,128.389999,129.669998,116.596451,6259700
2018-02-15,130.100006,131.279999,129.399994,131.229996,117.999168,5606400
2018-02-16,130.960007,134.449997,130.839996,133.149994,119.725594,7970100
2018-02-20,132.869995,133.449997,130.660004,130.869995,117.675499,6563500
2018-02-21,130.800003,132.429993,129.860001,129.910004,116.812279,6578000
2018-02-22,130.100006,131.020004,129.479996,129.910004,116.812279,5732200
2018-02-23,130.089996,132.080002,130.020004,132.020004,118.709541,5126800
2018-02-26,131.710007,133.410004,131.0,132.070007,119.514946,6684400
2018-02-27,132.210007,133.089996,131.600006,131.669998,119.152954,7158600
2018-02-28,131.949997,132.330002,129.869995,129.880005,117.533127,7985900
2018-03-01,129.110001,130.119995,126.519997,127.279999,115.18029,9424000
2018-03-02,126.910004,129.110001,126.910004,128.820007,116.573883,6910400
2018-03-05,128.630005,130.300003,128.179993,129.789993,117.451668,5799800
2018-03-06,130.0,130.199997,127.919998,128.220001,116.03093,5546500
2018-03-07,127.480003,129.330002,127.269997,129.039993,116.772972,6391700
2018-03-08,129.330002,132.300003,129.330002,132.059998,119.505875,6423400
2018-03-09,132.509995,133.820007,131.559998,133.800003,121.080498,7557800
2018-03-12,133.800003,134.229996,132.320007,132.630005,120.021706,4942000
2018-03-13,133.800003,135.389999,133.449997,134.350006,121.578201,9152300
2018-03-14,135.240005,135.699997,131.899994,132.320007,119.741173,6770600
2018-03-15,132.550003,134.240005,132.470001,133.059998,120.410812,6147200
2018-03-16,133.160004,134.399994,132.100006,133.679993,120.971878,14233500
2018-03-19,133.350006,133.470001,129.360001,130.240005,117.858902,6017000
2018-03-20,130.779999,131.779999,129.380005,131.210007,118.736694,6214300
2018-03-21,131.399994,132.779999,130.660004,131.190002,118.71859,5158700
2018-03-22,130.470001,130.679993,127.099998,127.379997,115.270782,7560100
2018-03-23,127.629997,127.800003,124.900002,125.099998,113.207527,8452500
2018-03-26,126.410004,127.540001,125.209999,127.389999,115.279823,8358200
2018-03-27,127.110001,129.100006,126.389999,127.209999,115.116943,7789900
2018-03-28,127.629997,129.020004,127.209999,127.449997,115.334122,6868500
2018-03-29,127.970001,128.759995,126.82,128.149994,115.967567,6119400
2018-04-02,127.82,127.879997,123.540001,124.559998,112.718864,8916900
