Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,91.919998,91.93,90.550003,90.650002,81.076515,7558900
2018-01-03,90.730003,91.089996,90.519997,90.540001,80.978142,5863600
2018-01-04,90.830002,91.769997,90.610001,91.18,81.550545,6322500
2018-01-05,91.269997,91.300003,90.57,91.239998,81.60421,5949700
2018-01-08,90.93,91.769997,90.93,91.720001,82.033524,4860700
2018-01-09,91.470001,91.650002,91.010002,91.050003,81.434288,6630100
2018-01-10,90.910004,90.910004,90.010002,90.470001,80.915535,6564700
2018-01-11,90.400002,90.519997,89.919998,90.150002,80.629326,5469700
2018-01-12,90.050003,90.339996,89.349998,89.610001,80.14637,8111000
2018-01-16,90.139999,90.769997,89.639999,90.220001,80.69194,9465300
2018-01-17,90.559998,91.730003,90.43,91.199997,81.568443,8345500
2018-01-18,90.239998,90.650002,89.669998,90.18,81.271042,7699800
2018-01-19,90.279999,91.260002,90.239998,91.07,82.073112,9364000
2018-01-22,90.879997,91.919998,90.769997,91.889999,82.812111,8658000
2018-01-23,89.82,90.209999,88.599998,89.050003,80.25267,18756300
2018-01-24,89.059998,89.160004,87.699997,88.309998,79.585785,15141900
2018-01-25,88.68,89.050003,88.010002,88.339996,79.612816,11264400
2018-01-26,88.169998,88.169998,87.230003,87.730003,79.063095,11503100
2018-01-29,87.690002,87.739998,86.690002,86.860001,78.279037,11685800
2018-01-30,86.82,87.440002,86.629997,86.949997,78.360138,9662900
2018-01-31,86.809998,87.410004,86.080002,86.339996,77.810394,11798100
2018-02-01,86.150002,86.5,85.559998,85.849998,77.368797,8606300
2018-02-02,85.559998,85.610001,84.209999,84.25,75.926872,12846300
2018-02-05,83.989998,84.370003,80.099998,81.059998,73.052017,17462200
2018-02-06,80.529999,82.449997,80.120003,82.379997,74.2416,19955500
2018-02-07,82.300003,83.389999,81.82,81.839996,73.754959,11851800
2018-02-08,82.029999,82.220001,80.150002,80.220001,72.294991,14596100
2018-02-09,80.980003,81.029999,78.589996,79.919998,72.024635,18838800
2018-02-12,80.610001,81.669998,80.580002,81.330002,73.295341,10769000
2018-02-13,81.150002,81.830002,80.910004,81.5,73.448547,9278700
2018-02-14,81.059998,81.260002,80.269997,80.68,72.709549,9412000
2018-02-15,80.970001,82.410004,80.5,82.410004,74.268646,8910700
2018-02-16,82.209999,83.25,82.129997,82.599998,74.439873,10371700
2018-02-20,82.190002,82.220001,81.07,81.339996,73.304344,7087700
2018-02-21,81.309998,81.809998,80.190002,80.239998,72.313011,9134500
2018-02-22,80.470001,81.279999,80.169998,80.839996,72.853737,10277700
2018-02-23,81.010002,81.120003,80.480003,81.050003,73.043007,10321800
2018-02-26,81.449997,81.690002,81.050003,81.629997,73.565704,9422200
2018-02-27,81.889999,82.0,80.510002,80.540001,72.583389,8919600
2018-02-28,80.68,80.790001,78.5,78.519997,70.762939,16862000
2018-03-01,78.400002,79.279999,77.900002,78.699997,70.925148,13504200
2018-03-02,78.480003,79.660004,78.419998,79.5,71.646126,9317700
2018-03-05,79.279999,80.389999,79.150002,80.290001,72.358078,8177000
2018-03-06,80.410004,80.419998,79.370003,80.019997,72.114761,9085300
2018-03-07,79.529999,79.639999,78.900002,79.160004,71.339722,9089500
2018-03-08,79.169998,79.989998,79.019997,79.970001,72.069695,7951700
2018-03-09,80.18,80.75,79.900002,80.290001,72.358078,7662200
2018-03-12,80.230003,80.620003,79.760002,79.860001,71.970566,7182000
2018-03-13,80.0,80.190002,79.360001,79.720001,71.844406,9620200
2018-03-14,79.690002,79.839996,78.860001,79.0,71.195526,8898100
2018-03-15,79.089996,79.139999,78.540001,78.669998,70.898132,6996900
2018-03-16,78.93,79.389999,78.839996,78.970001,71.16848,17715400
