Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,63.91,64.5,63.669998,64.029999,53.510765,1997300
2018-01-03,64.300003,64.68,63.950001,64.139999,53.602699,1832600
2018-01-04,64.110001,64.150002,62.73,62.759998,52.449406,1993500
2018-01-05,62.84,62.98,62.209999,62.369999,52.123486,2003300
2018-01-08,62.400002,62.84,62.330002,62.59,52.307346,1623200
2018-01-09,62.5,62.619999,61.299999,61.369999,51.287766,2032800
2018-01-10,61.080002,61.200001,60.700001,60.709999,50.736195,3072900
2018-01-11,61.040001,61.43,60.139999,60.169998,50.284908,2414300
2018-01-12,60.310001,60.310001,58.98,59.16,49.440838,2686600
2018-01-16,59.299999,60.720001,59.200001,59.259998,49.52441,3144800
2018-01-17,59.580002,60.189999,59.009998,60.110001,50.234764,4696000
2018-01-18,59.900002,59.900002,58.959999,59.290001,49.549484,3496400
2018-01-19,59.290001,59.32,58.240002,59.290001,49.549484,3011000
2018-01-22,59.259998,59.709999,59.009998,59.330002,49.582916,2817900
2018-01-23,59.669998,60.509998,59.279999,60.32,50.410271,2759300
2018-01-24,60.27,60.939999,60.150002,60.540001,50.59412,2368100
2018-01-25,60.529999,60.91,60.41,60.84,50.844837,2134400
2018-01-26,60.970001,60.990002,60.09,60.59,50.63591,2206400
2018-01-29,60.150002,60.23,58.990002,59.52,49.741699,2085500
2018-01-30,59.439999,59.889999,58.529999,58.529999,48.914337,2444700
2018-01-31,58.650002,60.009998,58.599998,59.970001,50.117764,4265600
2018-02-01,60.0,60.290001,57.939999,58.040001,48.504833,2609300
2018-02-02,57.57,58.82,56.889999,58.450001,48.847485,2827500
2018-02-05,58.369999,58.860001,56.41,56.529999,47.242908,3525100
2018-02-06,55.91,57.279999,55.290001,57.209999,47.811195,3943300
2018-02-07,57.110001,58.099998,56.43,56.549999,47.259624,3239700
2018-02-08,56.360001,57.209999,54.66,54.669998,45.68848,3956600
2018-02-09,54.630001,56.0,53.66,55.48,46.365406,4303900
2018-02-12,54.830002,54.970001,53.0,54.27,46.076736,4115600
2018-02-13,54.360001,55.32,53.630001,55.080002,46.76445,3839200
2018-02-14,54.540001,54.720001,53.43,54.150002,45.974865,3249000
2018-02-15,54.369999,55.580002,54.200001,55.169998,46.84087,2908500
2018-02-16,55.299999,56.439999,55.25,55.790001,47.367268,4051100
2018-02-20,55.509998,56.099998,54.790001,54.799999,46.526733,2639200
2018-02-21,54.900002,55.049999,53.849998,53.990002,45.839012,3418200
2018-02-22,53.82,55.060001,53.110001,53.740002,45.626751,3324100
2018-02-23,53.91,54.41,53.060001,54.41,46.195599,2661200
2018-02-26,54.610001,54.669998,53.419998,54.400002,46.187115,2582200
2018-02-27,54.349998,54.709999,52.220001,52.220001,44.336235,3189600
2018-02-28,54.900002,54.900002,51.849998,52.5,44.573971,3342600
